obs_mutation_count	exp_mutation_count	region_size	obs_exp_ratio
2	102	11079	1.96078
3	98	11078	3.06122
0	94	11075	0
1	101	11088	0.990099
1	75	11087	1.33333
1	72	11087	1.38889
1	86	11086	1.16279
0	65	11086	0
1	75	11082	1.33333
0	82	11074	0
4	69	11137	5.7971
1	75	11132	1.33333
1	76	11129	1.31579
1	87	11127	1.14943
1	56	11121	1.78571
0	71	11113	0
0	83	11111	0
1	70	11109	1.42857
1	82	11106	1.21951
0	79	11103	0
2	84	11105	2.38095
1	78	11102	1.28205
2	88	11098	2.27273
0	80	11092	0
0	78	11090	0
0	82	11088	0
0	84	11088	0
2	81	11086	2.46914
1	88	11084	1.13636
2	101	11084	1.9802
0	84	11082	0
1	82	11081	1.21951
1	97	11081	1.03093
1	95	11077	1.05263
2	78	11072	2.5641
0	88	11073	0
1	71	11075	1.40845
1	74	11079	1.35135
2	70	11078	2.85714
4	67	11077	5.97015
0	81	11071	0
1	93	11069	1.07527
1	69	11069	1.44928
1	104	11068	0.961538
0	79	11072	0
2	79	11069	2.53165
1	88	11069	1.13636
1	64	11067	1.5625
1	92	11068	1.08696
1	80	11071	1.25
2	100	11070	2
3	74	11069	4.05405
1	98	11068	1.02041
0	86	11075	0
0	91	11075	0
2	85	11078	2.35294
1	85	11078	1.17647
0	69	11079	0
4	80	11082	5
3	82	11089	3.65854
0	73	11094	0
0	74	11096	0
0	84	11101	0
1	81	11105	1.23457
1	101	11106	0.990099
0	84	11108	0
1	86	11110	1.16279
0	70	11113	0
1	78	11115	1.28205
1	78	11119	1.28205
2	79	11120	2.53165
2	70	11124	2.85714
0	93	11125	0
1	82	11131	1.21951
1	62	11131	1.6129
1	81	11136	1.23457
0	83	11135	0
1	84	11138	1.19048
2	77	11142	2.5974
1	77	11145	1.2987
1	84	11146	1.19048
1	92	11147	1.08696
1	103	11150	0.970874
1	74	11152	1.35135
0	83	11152	0
2	88	11155	2.27273
0	80	11156	0
1	95	11160	1.05263
0	87	11164	0
3	62	11170	4.83871
2	83	11170	2.40964
1	70	11170	1.42857
0	76	11171	0
1	73	11172	1.36986
0	101	11173	0
1	78	11173	1.28205
1	84	11174	1.19048
2	77	11175	2.5974
1	92	11175	1.08696
4	77	11177	5.19481
0	82	11177	0
4	84	11178	4.7619
0	81	11179	0
1	96	11182	1.04167
2	82	11183	2.43902
4	80	11183	5
3	88	11183	3.40909
3	79	11184	3.79747
2	86	11185	2.32558
4	80	11185	5
3	71	11186	4.22535
3	81	11186	3.7037
0	91	11186	0
1	76	11187	1.31579
0	98	11187	0
1	78	11187	1.28205
1	76	11187	1.31579
0	78	11188	0
1	82	11189	1.21951
0	79	11189	0
2	91	11189	2.1978
2	82	11190	2.43902
0	81	11190	0
0	97	11191	0
1	77	11192	1.2987
1	70	11192	1.42857
0	90	11192	0
0	77	11192	0
2	74	11192	2.7027
0	89	11192	0
3	91	11192	3.2967
0	88	11192	0
1	56	11193	1.78571
2	87	11193	2.29885
0	78	11193	0
1	74	11193	1.35135
0	91	11193	0
3	76	11193	3.94737
3	79	11193	3.79747
4	74	11193	5.40541
1	75	11194	1.33333
2	87	11194	2.29885
1	82	11194	1.21951
0	78	11194	0
1	72	11194	1.38889
2	87	11194	2.29885
1	87	11194	1.14943
0	99	11194	0
0	100	11194	0
2	94	11194	2.12766
1	70	11194	1.42857
0	88	11194	0
1	86	11194	1.16279
2	86	11194	2.32558
0	105	11194	0
2	95	11194	2.10526
2	77	11194	2.5974
2	88	11194	2.27273
1	98	11194	1.02041
1	84	11194	1.19048
1	80	11194	1.25
0	82	11194	0
1	94	11193	1.06383
2	69	11194	2.89855
0	91	11194	0
1	79	11194	1.26582
2	76	11194	2.63158
0	98	11194	0
2	67	11194	2.98507
1	102	11194	0.980392
0	59	11194	0
1	92	11194	1.08696
2	73	11194	2.73973
1	78	11194	1.28205
0	95	11194	0
0	100	11194	0
1	88	11194	1.13636
0	76	11194	0
1	85	11194	1.17647
1	93	11194	1.07527
0	99	11194	0
1	69	11194	1.44928
3	98	11194	3.06122
1	76	11194	1.31579
2	85	11194	2.35294
0	78	11194	0
1	81	11194	1.23457
2	88	11194	2.27273
0	78	11194	0
1	85	11194	1.17647
1	69	11194	1.44928
1	90	11194	1.11111
0	82	11194	0
0	89	11194	0
0	82	11194	0
0	76	11194	0
0	82	11194	0
3	90	11194	3.33333
1	89	11194	1.1236
1	73	11194	1.36986
0	67	11194	0
0	99	11194	0
1	82	11194	1.21951
0	80	11194	0
0	91	11194	0
1	96	11194	1.04167
0	91	11194	0
0	74	11194	0
0	77	11194	0
1	92	11194	1.08696
0	79	11194	0
0	93	11194	0
2	87	11194	2.29885
1	85	11194	1.17647
1	69	11194	1.44928
1	51	11194	1.96078
2	88	11194	2.27273
1	99	11194	1.0101
1	75	11194	1.33333
0	79	11193	0
0	79	11193	0
0	89	11193	0
1	74	11193	1.35135
1	85	11193	1.17647
3	98	11193	3.06122
1	101	11193	0.990099
1	82	11193	1.21951
1	82	11193	1.21951
1	79	11193	1.26582
4	74	11193	5.40541
0	73	11193	0
3	98	11193	3.06122
1	82	11191	1.21951
0	73	11191	0
1	89	11191	1.1236
3	84	11191	3.57143
0	90	11191	0
1	74	11191	1.35135
0	86	11191	0
0	86	11191	0
0	70	11191	0
0	65	11190	0
0	75	11190	0
2	73	11190	2.73973
1	99	11190	1.0101
1	82	11190	1.21951
1	84	11190	1.19048
0	79	11190	0
0	82	11190	0
0	70	11190	0
0	90	11190	0
1	74	11190	1.35135
2	76	11190	2.63158
1	101	11190	0.990099
0	89	11190	0
1	79	11190	1.26582
0	82	11190	0
0	73	11190	0
1	67	11190	1.49254
0	91	11190	0
1	81	11190	1.23457
1	71	11190	1.40845
0	84	11190	0
0	86	11190	0
0	81	11190	0
1	73	11190	1.36986
0	86	11190	0
2	73	11190	2.73973
0	92	11190	0
2	93	11190	2.15054
0	85	11190	0
2	84	11190	2.38095
0	88	11190	0
1	84	11190	1.19048
1	81	11190	1.23457
2	83	11190	2.40964
2	106	11190	1.88679
0	78	11190	0
1	95	11190	1.05263
0	79	11190	0
1	90	11190	1.11111
0	75	11190	0
1	85	11190	1.17647
1	64	11190	1.5625
1	90	11190	1.11111
1	87	11190	1.14943
4	91	11190	4.3956
3	79	11190	3.79747
0	79	11189	0
1	87	11188	1.14943
2	85	11187	2.35294
0	87	11187	0
0	91	11187	0
1	77	11187	1.2987
0	99	11187	0
2	74	11187	2.7027
1	65	11187	1.53846
0	82	11188	0
0	79	11188	0
0	88	11188	0
0	95	11188	0
1	84	11187	1.19048
2	90	11187	2.22222
1	76	11187	1.31579
3	91	11187	3.2967
1	84	11187	1.19048
1	88	11187	1.13636
0	87	11187	0
2	98	11187	2.04082
1	92	11187	1.08696
0	97	11187	0
1	64	11187	1.5625
0	89	11187	0
1	92	11187	1.08696
0	88	11187	0
0	94	11187	0
2	68	11187	2.94118
1	99	11187	1.0101
1	77	11187	1.2987
2	63	11187	3.1746
1	95	11187	1.05263
4	80	11187	5
0	106	11187	0
0	73	11187	0
2	71	11187	2.8169
2	72	11187	2.77778
1	75	11187	1.33333
1	95	11187	1.05263
2	80	11188	2.5
2	97	11188	2.06186
0	88	11188	0
0	60	11188	0
0	91	11188	0
0	83	11188	0
1	79	11188	1.26582
0	74	11188	0
2	70	11188	2.85714
1	74	11188	1.35135
0	87	11188	0
1	84	11188	1.19048
0	80	11189	0
0	80	11189	0
0	83	11189	0
1	75	11189	1.33333
1	84	11189	1.19048
1	81	11189	1.23457
0	98	11189	0
1	61	11189	1.63934
0	84	11188	0
1	75	11188	1.33333
0	76	11189	0
0	77	11189	0
1	74	11189	1.35135
0	95	11189	0
0	73	11189	0
1	83	11189	1.20482
0	88	11189	0
0	71	11189	0
0	78	11189	0
1	71	11189	1.40845
0	91	11189	0
0	71	11189	0
1	94	11189	1.06383
1	77	11189	1.2987
1	88	11189	1.13636
1	80	11189	1.25
0	79	11189	0
0	79	11189	0
1	87	11189	1.14943
0	71	11188	0
1	82	11188	1.21951
0	87	11188	0
0	99	11188	0
1	88	11189	1.13636
1	91	11189	1.0989
1	88	11189	1.13636
0	85	11189	0
2	90	11189	2.22222
1	82	11189	1.21951
3	85	11189	3.52941
1	98	11189	1.02041
0	78	11189	0
0	101	11189	0
0	90	11189	0
0	95	11189	0
1	94	11189	1.06383
1	81	11189	1.23457
0	88	11189	0
0	64	11189	0
0	89	11189	0
1	85	11190	1.17647
0	106	11190	0
0	93	11189	0
1	108	11189	0.925926
2	83	11189	2.40964
0	82	11189	0
0	80	11189	0
0	86	11189	0
0	81	11189	0
1	88	11189	1.13636
3	64	11189	4.6875
2	90	11188	2.22222
0	79	11188	0
1	87	11187	1.14943
0	72	11187	0
0	97	11187	0
0	80	11187	0
1	85	11186	1.17647
0	70	11186	0
0	89	11186	0
0	70	11186	0
0	82	11186	0
2	99	11186	2.0202
2	77	11185	2.5974
0	99	11185	0
1	82	11185	1.21951
1	75	11185	1.33333
1	86	11185	1.16279
0	73	11185	0
0	70	11186	0
1	91	11186	1.0989
1	89	11186	1.1236
0	86	11185	0
1	75	11185	1.33333
1	79	11185	1.26582
0	84	11184	0
2	107	11184	1.86916
0	75	11184	0
0	77	11184	0
0	76	11184	0
1	97	11184	1.03093
1	79	11184	1.26582
0	91	11184	0
0	90	11184	0
0	93	11184	0
0	102	11184	0
1	86	11184	1.16279
1	91	11184	1.0989
0	87	11184	0
2	87	11184	2.29885
1	80	11184	1.25
1	91	11184	1.0989
1	79	11184	1.26582
0	88	11184	0
3	94	11184	3.19149
1	98	11184	1.02041
0	84	11185	0
0	85	11185	0
0	94	11185	0
0	80	11185	0
3	92	11184	3.26087
1	80	11184	1.25
0	77	11184	0
0	92	11184	0
2	70	11184	2.85714
0	98	11184	0
1	92	11184	1.08696
2	84	11184	2.38095
0	78	11184	0
0	73	11184	0
0	84	11184	0
1	80	11184	1.25
0	79	11184	0
0	86	11184	0
3	96	11184	3.125
1	74	11184	1.35135
0	86	11184	0
0	93	11184	0
0	84	11184	0
0	70	11184	0
0	72	11184	0
1	74	11184	1.35135
2	74	11185	2.7027
2	67	11184	2.98507
2	92	11184	2.17391
1	87	11184	1.14943
1	64	11184	1.5625
2	88	11184	2.27273
2	73	11184	2.73973
1	81	11184	1.23457
0	77	11184	0
1	88	11184	1.13636
0	93	11184	0
1	98	11184	1.02041
2	69	11184	2.89855
3	92	11184	3.26087
0	92	11184	0
1	88	11185	1.13636
1	91	11185	1.0989
2	78	11185	2.5641
0	80	11185	0
0	93	11185	0
2	84	11185	2.38095
0	86	11185	0
0	78	11185	0
0	62	11185	0
0	86	11185	0
0	89	11185	0
0	87	11185	0
0	81	11185	0
1	75	11185	1.33333
0	79	11185	0
1	79	11185	1.26582
1	91	11185	1.0989
1	85	11185	1.17647
0	71	11185	0
1	81	11185	1.23457
1	75	11184	1.33333
1	99	11184	1.0101
1	73	11184	1.36986
1	82	11184	1.21951
0	72	11184	0
2	83	11184	2.40964
3	92	11184	3.26087
0	93	11184	0
0	99	11184	0
0	84	11184	0
0	66	11184	0
0	105	11184	0
0	90	11184	0
2	80	11184	2.5
0	75	11184	0
0	86	11184	0
2	80	11184	2.5
2	103	11184	1.94175
2	93	11184	2.15054
0	73	11184	0
1	89	11184	1.1236
0	87	11184	0
0	84	11184	0
0	90	11184	0
1	91	11184	1.0989
0	81	11184	0
1	101	11184	0.990099
1	85	11185	1.17647
1	106	11185	0.943396
0	92	11185	0
3	89	11185	3.37079
2	89	11185	2.24719
1	78	11185	1.28205
1	78	11185	1.28205
0	89	11185	0
0	77	11185	0
0	94	11185	0
1	84	11185	1.19048
1	85	11185	1.17647
0	98	11185	0
0	82	11185	0
0	103	11185	0
2	84	11185	2.38095
0	88	11185	0
1	73	11185	1.36986
1	103	11185	0.970874
0	87	11185	0
1	62	11185	1.6129
0	86	11185	0
0	84	11185	0
1	87	11185	1.14943
1	79	11186	1.26582
1	79	11186	1.26582
0	81	11186	0
1	76	11186	1.31579
1	82	11186	1.21951
1	89	11186	1.1236
1	85	11186	1.17647
0	92	11186	0
2	81	11186	2.46914
0	88	11186	0
0	82	11186	0
0	105	11186	0
0	93	11186	0
0	83	11186	0
1	100	11186	1
3	88	11186	3.40909
0	82	11186	0
2	108	11186	1.85185
2	93	11186	2.15054
1	81	11186	1.23457
1	94	11186	1.06383
0	72	11186	0
0	77	11186	0
0	86	11186	0
0	99	11186	0
0	86	11188	0
2	93	11188	2.15054
2	60	11188	3.33333
0	81	11188	0
0	86	11188	0
0	79	11188	0
0	78	11188	0
1	92	11188	1.08696
2	70	11187	2.85714
1	90	11187	1.11111
0	82	11187	0
1	81	11187	1.23457
0	74	11187	0
2	98	11187	2.04082
1	97	11187	1.03093
1	89	11187	1.1236
0	72	11187	0
1	78	11187	1.28205
1	82	11187	1.21951
0	91	11187	0
0	81	11187	0
1	83	11187	1.20482
1	84	11187	1.19048
0	92	11187	0
0	77	11187	0
0	92	11187	0
2	85	11187	2.35294
1	100	11187	1
0	105	11187	0
1	89	11187	1.1236
1	96	11187	1.04167
1	85	11188	1.17647
0	79	11188	0
4	81	11188	4.93827
2	81	11188	2.46914
1	80	11189	1.25
4	82	11189	4.87805
1	80	11188	1.25
0	82	11188	0
0	83	11188	0
1	88	11188	1.13636
1	91	11188	1.0989
1	75	11188	1.33333
1	63	11188	1.5873
0	88	11188	0
0	65	11188	0
0	88	11188	0
0	86	11188	0
3	73	11188	4.10959
4	88	11188	4.54545
1	92	11188	1.08696
0	89	11189	0
0	88	11189	0
0	69	11189	0
1	90	11189	1.11111
1	87	11189	1.14943
0	82	11189	0
0	79	11189	0
1	98	11188	1.02041
2	76	11188	2.63158
2	81	11188	2.46914
0	75	11188	0
0	86	11188	0
1	86	11188	1.16279
2	77	11188	2.5974
1	91	11188	1.0989
1	70	11188	1.42857
0	93	11188	0
1	79	11188	1.26582
0	99	11188	0
0	81	11188	0
1	94	11188	1.06383
0	85	11188	0
0	85	11188	0
2	79	11188	2.53165
0	90	11188	0
1	90	11188	1.11111
0	94	11188	0
1	83	11188	1.20482
2	72	11188	2.77778
0	92	11188	0
0	87	11188	0
3	89	11188	3.37079
0	80	11188	0
0	75	11187	0
1	79	11187	1.26582
1	86	11187	1.16279
0	77	11187	0
1	103	11187	0.970874
0	104	11187	0
1	87	11187	1.14943
0	88	11187	0
2	76	11187	2.63158
3	87	11187	3.44828
1	95	11187	1.05263
0	83	11187	0
0	68	11187	0
1	85	11187	1.17647
0	85	11187	0
0	63	11188	0
1	82	11188	1.21951
1	80	11188	1.25
2	80	11188	2.5
0	76	11188	0
1	90	11188	1.11111
2	87	11188	2.29885
0	98	11188	0
2	78	11187	2.5641
1	89	11187	1.1236
0	83	11187	0
2	83	11187	2.40964
0	105	11187	0
0	76	11187	0
0	78	11187	0
1	96	11187	1.04167
1	83	11187	1.20482
0	81	11187	0
1	80	11187	1.25
0	76	11187	0
1	87	11187	1.14943
1	81	11187	1.23457
0	91	11187	0
0	83	11187	0
1	80	11187	1.25
1	94	11187	1.06383
0	86	11187	0
0	80	11187	0
0	79	11187	0
2	95	11187	2.10526
0	71	11187	0
2	80	11186	2.5
0	86	11184	0
1	71	11185	1.40845
1	97	11185	1.03093
2	82	11185	2.43902
1	63	11185	1.5873
2	80	11184	2.5
0	78	11184	0
1	84	11184	1.19048
1	77	11184	1.2987
1	89	11184	1.1236
2	73	11184	2.73973
0	82	11184	0
0	103	11185	0
0	71	11185	0
0	90	11185	0
2	88	11185	2.27273
1	103	11186	0.970874
0	85	11186	0
1	85	11186	1.17647
0	76	11186	0
2	76	11186	2.63158
0	71	11186	0
1	96	11186	1.04167
3	107	11186	2.80374
0	90	11186	0
0	70	11186	0
0	69	11186	0
1	87	11186	1.14943
2	83	11186	2.40964
1	104	11186	0.961538
3	87	11186	3.44828
1	94	11186	1.06383
0	83	11186	0
1	82	11186	1.21951
1	91	11186	1.0989
1	80	11186	1.25
0	94	11186	0
1	89	11186	1.1236
0	86	11186	0
1	89	11186	1.1236
1	78	11186	1.28205
1	88	11186	1.13636
1	73	11186	1.36986
1	71	11186	1.40845
1	83	11186	1.20482
1	86	11186	1.16279
2	97	11186	2.06186
1	75	11186	1.33333
0	100	11186	0
0	88	11185	0
2	87	11185	2.29885
1	104	11185	0.961538
0	76	11185	0
0	71	11185	0
1	86	11185	1.16279
1	86	11185	1.16279
0	83	11185	0
0	74	11185	0
2	91	11185	2.1978
0	81	11185	0
1	86	11185	1.16279
2	93	11185	2.15054
1	94	11183	1.06383
1	87	11183	1.14943
3	75	11183	4
2	98	11183	2.04082
0	81	11183	0
0	92	11183	0
0	82	11183	0
1	90	11185	1.11111
1	88	11185	1.13636
0	76	11185	0
0	84	11185	0
1	80	11186	1.25
1	80	11186	1.25
1	90	11186	1.11111
1	89	11186	1.1236
1	94	11186	1.06383
1	100	11186	1
4	71	11186	5.6338
1	78	11186	1.28205
0	71	11186	0
1	92	11186	1.08696
1	82	11186	1.21951
0	69	11186	0
0	76	11186	0
0	79	11185	0
1	64	11185	1.5625
0	91	11185	0
0	78	11185	0
1	73	11185	1.36986
1	80	11185	1.25
0	98	11185	0
1	66	11185	1.51515
1	84	11185	1.19048
4	83	11185	4.81928
1	93	11185	1.07527
1	79	11185	1.26582
1	83	11185	1.20482
1	68	11185	1.47059
0	73	11185	0
1	81	11184	1.23457
0	81	11184	0
1	78	11184	1.28205
0	80	11184	0
