Bin	pooled_low_Mutant	TCGA-BT-A3PJ	pooled_low_WT	TCGA-BT-A20T	TCGA-BT-A2LA	TCGA-BT-A3PH	TCGA-CF-A27C	TCGA-DK-A1A5	TCGA-DK-A1A6	TCGA-GD-A2C5	TCGA-H4-A2HQ
chr1-4010001-5010000	0.35461	0.61082	0.884956	1.86246	1.6317	0.535236	1.86667	0.799087	1.65975	0.511945	1.341
chr1-5010001-6010000	1.49813	0.719424	0.977199	1.53649	1.19048	1.12994	0.940439	0.851064	0.560224	1.70068	1.02881
chr1-6010001-7010000	1.84162	1.32325	0.85883	1.00865	0.707547	1.04364	1.51057	2.28311	0.596125	0.355872	1.12016
chr1-7010001-8010000	1.39616	0.905797	1.37421	0.842697	0.493827	1.34486	0.826446	0.652884	2.77778	0.704225	1.57398
chr1-8010001-9010000	0.934579	1.60142	0.843437	0.913838	1.84697	1.30354	0.854701	1.34378	1.39276	0.847458	1.24095
chr1-10010001-11010000	1.60428	1.88849	0.527148	0.860832	0.471698	3.15271	0.607903	1.08225	1.62242	1.43627	1.25392
chr1-11010001-12010000	0.348432	0.442087	1.1041	0.893997	0.97561	1.51372	1.23457	1.7149	1.1396	0.534759	0.619835
chr1-14010001-15010000	0.732601	1.31464	1.17962	1.17647	0.956938	1.35014	1.58228	1.18026	0.766871	1.69492	0.814664
chr1-15010001-16010000	1.8797	1.1324	1.00689	0.542005	1.00251	1.50659	1.7341	0.776053	1.30246	0.899281	1.94076
chr1-18010001-19010000	1.55172	1.8245	0.632911	0.972053	1.10375	1.26812	0.833333	0.540541	0.284495	1.45161	1.03413
chr1-19010001-20010000	0.728597	1.1883	0.608744	1.61725	0.742574	1.57262	1.80723	1.84382	1.25174	1.20482	0.843882
chr1-20010001-21010000	1.18443	0.78125	0.890052	1.33511	0.728155	1.66512	0	1.35983	0.578035	1.23675	1.60321
chr1-22010001-23010000	1.10497	0.847458	1.00559	1.8617	1.88679	1.341	0.928793	2.15054	0.766871	0.359712	1.10999
chr1-23010001-24010000	0.75188	1.16279	0.746667	1.44547	1.65094	2.00547	1.78571	0.767544	0.5997	0.707965	1.11483
chr1-24010001-25010000	1.52542	0.738689	0.783699	0.129702	0.721154	1.7769	0.306748	0.729167	0.754148	1.06195	1.03093
chr1-30010001-31010000	1.89329	0.865052	1.17084	1.39594	0.724638	1.21382	0.634921	0.965665	1.00287	1.40351	0.590551
chr1-31010001-32010000	1.1194	0.841908	0.730337	0.532623	1.81818	1.79104	1.11421	0.524109	1.64179	1.3913	1.1022
chr1-32010001-33010000	0.88968	1.57756	0.839866	1.13154	0	1.25847	1.82371	0.531915	2.29358	4.6875	0.92688
chr1-33010001-34010000	1.06383	1.46252	0.882029	2.37797	0.746269	1.7734	1.64384	1.09409	1.04634	1.10935	2.86624
chr1-34010001-35010000	1.31332	0.858369	1.0352	1.24688	0.992556	1.24224	0.531915	0.833333	0.939597	0.689655	0.990099
chr1-35010001-36010000	1.14723	1.13314	0.670766	0.918635	1.20773	1.23223	0	1.15075	0.824176	0.990099	2.36382
chr1-36010001-37010000	0.93633	1.39373	1.17584	0.684932	0.795756	1.4978	0.934579	1.68421	1.43472	0.490998	1.13285
chr1-37010001-38010000	0.393701	0.440529	1.34855	1.69492	2.03046	1.40187	0.890208	2.74123	1.24481	1.60142	0.315126
chr1-38010001-39010000	0.711744	0.434405	1.16341	0.636943	1.10865	1.09589	1.89189	0.921187	1.95531	1.31363	1.56087
