obs_mutation_count	exp_mutation_count	region_size	obs_exp_ratio
0	16	5585	0
0	16	5585	0
0	19	5585	0
0	32	5585	0
0	18	5585	0
1	15	5585	6.66667
1	17	5585	5.88235
0	24	5585	0
0	11	5585	0
1	15	5585	6.66667
0	30	5585	0
1	11	5585	9.09091
0	7	5585	0
0	17	5585	0
1	20	5585	5
0	15	5585	0
0	18	5585	0
0	5	5584	0
0	18	5584	0
0	8	5584	0
0	13	5583	0
0	22	5583	0
0	20	5583	0
2	9	5582	22.2222
0	17	5582	0
1	14	5582	7.14286
0	18	5582	0
0	12	5582	0
0	16	5582	0
0	15	5582	0
0	21	5582	0
0	13	5581	0
0	16	5581	0
0	13	5580	0
0	16	5580	0
0	18	5580	0
1	16	5580	6.25
4	17	5580	23.5294
0	21	5580	0
0	8	5580	0
1	9	5580	11.1111
0	19	5580	0
0	11	5580	0
0	12	5580	0
0	10	5580	0
1	20	5580	5
0	13	5580	0
0	9	5580	0
1	23	5580	4.34783
0	13	5580	0
2	11	5580	18.1818
1	23	5580	4.34783
0	14	5580	0
0	17	5580	0
0	16	5580	0
0	26	5580	0
0	10	5580	0
0	16	5580	0
0	8	5580	0
0	10	5580	0
0	20	5580	0
1	10	5580	10
0	17	5580	0
6	12	5580	50
0	11	5580	0
0	18	5580	0
0	15	5579	0
0	14	5577	0
1	5	5577	20
1	18	5577	5.55556
0	19	5576	0
0	11	5576	0
0	8	5576	0
0	24	5576	0
0	18	5575	0
0	18	5575	0
0	13	5574	0
0	15	5574	0
1	10	5571	10
0	13	5571	0
0	25	5569	0
0	17	5568	0
0	15	5567	0
0	20	5566	0
0	9	5563	0
0	18	5563	0
1	8	5559	12.5
1	15	5558	6.66667
0	11	5556	0
0	14	5556	0
3	18	5554	16.6667
0	15	5551	0
0	10	5542	0
0	15	5528	0
0	18	5519	0
0	13	5507	0
2	9	5502	22.2222
0	14	5489	0
0	16	5479	0
0	10	5465	0
0	9	5457	0
0	17	5453	0
1	21	5446	4.7619
0	16	5441	0
0	10	5433	0
2	13	5422	15.3846
1	14	5404	7.14286
0	18	5395	0
0	15	5390	0
0	17	5387	0
0	14	5378	0
0	16	5369	0
0	10	5360	0
0	13	5356	0
0	16	5351	0
0	22	5350	0
0	13	5337	0
2	10	5332	20
0	9	5322	0
1	15	5315	6.66667
0	20	5307	0
0	18	5298	0
0	19	5291	0
0	11	5288	0
0	22	5282	0
0	11	5279	0
0	11	5274	0
0	13	5273	0
0	13	5268	0
1	5	5263	20
0	9	5257	0
0	11	5255	0
0	14	5251	0
1	31	5247	3.22581
0	12	5241	0
0	12	5240	0
5	8	5237	62.5
0	8	5232	0
0	17	5228	0
0	18	5226	0
0	15	5218	0
1	6	5218	16.6667
0	25	5217	0
2	13	5215	15.3846
0	15	5210	0
0	8	5209	0
2	9	5205	22.2222
3	21	5202	14.2857
0	10	5199	0
0	6	5163	0
0	14	5161	0
0	10	5159	0
0	13	5156	0
0	17	5156	0
0	12	5156	0
0	13	5154	0
0	17	5149	0
0	8	5149	0
0	20	5148	0
2	20	5144	10
0	10	5144	0
0	11	5142	0
0	17	5142	0
0	22	5141	0
0	9	5140	0
0	23	5140	0
1	16	5139	6.25
0	14	5138	0
0	14	5136	0
1	16	5135	6.25
1	15	5133	6.66667
0	17	5131	0
0	11	5126	0
1	9	5125	11.1111
0	18	5123	0
0	27	5123	0
0	14	5114	0
1	20	5113	5
0	16	5112	0
1	14	5112	7.14286
0	11	5112	0
0	13	5112	0
1	8	5112	12.5
0	14	5112	0
0	10	5111	0
0	13	5111	0
0	13	5109	0
0	12	5106	0
1	11	5102	9.09091
1	22	5099	4.54545
0	11	5098	0
1	18	5095	5.55556
0	22	5091	0
0	15	5091	0
1	14	5091	7.14286
0	14	5091	0
0	9	5088	0
0	13	5087	0
0	10	5086	0
1	19	5081	5.26316
0	26	5079	0
0	11	5075	0
1	4	5075	25
0	15	5074	0
0	17	5072	0
0	9	5072	0
0	14	5071	0
2	13	5069	15.3846
1	20	5067	5
0	10	5064	0
0	11	5058	0
0	8	5058	0
0	18	5055	0
0	14	5054	0
0	7	5054	0
0	15	5052	0
0	6	5049	0
1	8	5049	12.5
0	22	5049	0
0	20	5044	0
0	10	5044	0
0	17	5041	0
0	10	5041	0
0	10	5040	0
0	11	5037	0
0	14	5036	0
0	11	5034	0
0	14	5029	0
0	7	5029	0
1	6	5024	16.6667
0	20	5022	0
1	12	5019	8.33333
1	19	5017	5.26316
1	14	5016	7.14286
0	9	5014	0
0	12	5012	0
0	17	5011	0
0	16	5010	0
0	16	5009	0
0	26	5008	0
0	7	5005	0
0	12	5004	0
0	12	5004	0
1	18	5003	5.55556
0	8	5002	0
0	6	4999	0
1	9	4997	11.1111
0	7	4995	0
1	9	4993	11.1111
0	18	4990	0
0	16	4990	0
1	22	4987	4.54545
0	7	4985	0
0	11	4984	0
1	17	4983	5.88235
0	17	4980	0
0	11	4970	0
0	13	4966	0
0	10	4962	0
0	23	4955	0
0	16	4953	0
0	13	4951	0
0	11	4951	0
0	8	4949	0
0	18	4945	0
0	18	4945	0
0	14	4943	0
1	11	4941	9.09091
0	19	4939	0
0	17	4938	0
0	11	4938	0
1	12	4937	8.33333
0	13	4935	0
2	8	4935	25
0	17	4935	0
0	16	4934	0
0	19	4934	0
0	15	4934	0
0	13	4929	0
0	16	4924	0
0	16	4922	0
0	23	4922	0
0	10	4918	0
0	8	4915	0
0	11	4914	0
0	14	4908	0
0	8	4903	0
0	12	4898	0
1	10	4896	10
0	13	4896	0
0	10	4896	0
0	9	4896	0
0	14	4892	0
0	11	4888	0
0	13	4887	0
0	7	4885	0
0	15	4883	0
0	14	4881	0
0	9	4877	0
0	21	4869	0
0	12	4865	0
0	10	4862	0
1	11	4862	9.09091
0	12	4861	0
0	18	4860	0
1	16	4860	6.25
0	17	4858	0
0	5	4857	0
0	21	4857	0
0	14	4852	0
1	13	4850	7.69231
1	13	4848	7.69231
0	9	4843	0
0	13	4843	0
0	20	4842	0
0	14	4842	0
0	16	4842	0
0	18	4839	0
0	11	4838	0
0	14	4828	0
0	13	4827	0
0	18	4827	0
0	15	4827	0
0	10	4827	0
0	19	4826	0
0	19	4825	0
0	13	4817	0
0	23	4816	0
0	16	4816	0
0	17	4813	0
0	15	4812	0
1	18	4812	5.55556
0	10	4812	0
0	18	4810	0
0	16	4810	0
0	12	4809	0
0	14	4805	0
0	8	4804	0
1	7	4804	14.2857
0	11	4794	0
1	15	4791	6.66667
0	13	4791	0
0	16	4788	0
0	15	4788	0
0	11	4788	0
0	15	4786	0
0	28	4784	0
0	11	4782	0
1	19	4781	5.26316
0	18	4778	0
0	12	4778	0
0	17	4778	0
0	11	4778	0
0	17	4776	0
0	19	4774	0
0	11	4772	0
0	2	4771	0
0	14	4767	0
0	12	4767	0
0	11	4755	0
0	12	4753	0
0	11	4752	0
0	9	4751	0
0	15	4749	0
0	12	4748	0
0	16	4745	0
0	7	4741	0
0	6	4739	0
0	17	4737	0
