obs_mutation_count	exp_mutation_count	region_size	obs_exp_ratio
2	225	19485	0.888889
1	180	19485	0.555556
0	150	19485	0
1	196	19483	0.510204
0	221	19480	0
0	215	19480	0
3	191	19480	1.57068
0	197	19480	0
2	183	19479	1.0929
1	197	19479	0.507614
0	200	19478	0
3	189	19478	1.5873
0	196	19478	0
0	202	19477	0
1	219	19477	0.456621
9	182	19479	4.94505
3	231	19479	1.2987
1	210	19479	0.47619
6	205	19479	2.92683
1	197	19479	0.507614
2	222	19479	0.900901
0	171	19479	0
2	212	19480	0.943396
3	183	19480	1.63934
1	219	19481	0.456621
2	211	19481	0.947867
1	208	19481	0.480769
2	189	19477	1.0582
1	167	19477	0.598802
0	197	19476	0
0	196	19475	0
5	206	19475	2.42718
1	178	19473	0.561798
2	213	19473	0.938967
2	222	19473	0.900901
1	200	19473	0.5
3	224	19473	1.33929
1	208	19472	0.480769
1	236	19470	0.423729
1	174	19469	0.574713
1	210	19468	0.47619
0	193	19469	0
2	211	19468	0.947867
1	221	19468	0.452489
0	198	19465	0
0	165	19462	0
2	186	19462	1.07527
3	207	19463	1.44928
2	194	19463	1.03093
1	203	19462	0.492611
0	204	19460	0
0	173	19457	0
0	187	19458	0
1	196	19457	0.510204
2	223	19457	0.896861
0	199	19456	0
0	194	19455	0
1	195	19453	0.512821
1	177	19453	0.564972
3	186	19450	1.6129
0	186	19449	0
0	179	19448	0
2	208	19446	0.961538
2	194	19443	1.03093
0	199	19441	0
0	167	19440	0
0	215	19438	0
0	232	19436	0
0	233	19436	0
0	192	19435	0
3	188	19434	1.59574
1	223	19434	0.44843
1	207	19431	0.483092
0	188	19429	0
1	196	19430	0.510204
0	217	19431	0
1	187	19428	0.534759
0	220	19428	0
3	227	19428	1.32159
5	188	19426	2.65957
1	174	19424	0.574713
2	207	19424	0.966184
0	168	19424	0
3	194	19423	1.54639
1	192	19422	0.520833
2	211	19420	0.947867
0	199	19412	0
0	202	19413	0
6	191	19410	3.14136
0	207	19409	0
0	237	19410	0
1	199	19408	0.502513
0	206	19409	0
0	213	19399	0
0	202	19399	0
4	189	19399	2.1164
1	175	19396	0.571429
0	167	19394	0
1	183	19392	0.546448
1	186	19391	0.537634
0	185	19381	0
1	202	19382	0.49505
1	203	19382	0.492611
5	177	19385	2.82486
1	200	19385	0.5
0	245	19384	0
0	194	19385	0
2	240	19380	0.833333
0	195	19375	0
1	180	19375	0.555556
2	192	19372	1.04167
0	225	19369	0
2	198	19362	1.0101
2	197	19361	1.01523
0	220	19360	0
0	208	19352	0
0	203	19344	0
0	195	19346	0
0	187	19340	0
1	205	19336	0.487805
0	218	19329	0
0	168	19322	0
0	184	19320	0
0	231	19323	0
1	187	19319	0.534759
0	197	19317	0
3	192	19319	1.5625
7	181	19314	3.8674
1	181	19313	0.552486
4	187	19316	2.13904
0	187	19316	0
1	183	19312	0.546448
4	212	19309	1.88679
1	176	19302	0.568182
1	164	19303	0.609756
5	196	19304	2.55102
1	171	19301	0.584795
2	186	19297	1.07527
1	176	19290	0.568182
2	182	19284	1.0989
0	173	19276	0
0	168	19271	0
0	198	19252	0
0	184	19251	0
0	181	19242	0
0	207	19243	0
0	157	19244	0
0	192	19239	0
0	163	19231	0
1	209	18800	0.478469
1	187	18908	0.534759
0	162	18900	0
1	188	18897	0.531915
1	174	18899	0.574713
2	173	18901	1.15607
0	193	18893	0
1	179	18894	0.558659
2	196	18895	1.02041
2	193	18890	1.03627
0	186	18871	0
0	178	18868	0
2	180	18866	1.11111
1	185	18869	0.540541
0	184	18866	0
2	134	18865	1.49254
0	209	18858	0
7	199	18856	3.51759
2	187	18853	1.06952
1	178	18848	0.561798
0	180	18849	0
0	167	18852	0
0	202	18849	0
2	148	18849	1.35135
0	173	18844	0
0	189	18841	0
4	179	18841	2.23464
3	169	18836	1.77515
4	211	18837	1.89573
0	168	18837	0
0	169	18818	0
0	175	18820	0
0	186	18819	0
0	170	18811	0
0	199	18808	0
0	162	18806	0
1	155	18799	0.645161
2	150	18801	1.33333
1	173	18789	0.578035
1	208	18789	0.480769
2	163	18782	1.22699
1	170	18778	0.588235
1	184	18764	0.543478
2	172	18756	1.16279
1	165	18751	0.606061
2	149	18747	1.34228
2	157	18741	1.27389
2	205	18732	0.97561
1	184	18724	0.543478
1	190	18716	0.526316
0	182	18688	0
0	195	18695	0
0	180	18691	0
0	184	18682	0
2	164	18679	1.21951
0	162	18673	0
0	169	18666	0
4	181	18664	2.20994
3	186	18654	1.6129
2	195	18653	1.02564
0	176	18652	0
1	202	18645	0.49505
0	189	18632	0
1	163	18629	0.613497
0	201	18623	0
0	220	18624	0
0	164	18617	0
0	168	18615	0
0	171	18608	0
1	171	18605	0.584795
0	153	18559	0
1	164	18567	0.609756
0	172	18565	0
0	172	18561	0
1	159	18550	0.628931
0	185	18545	0
0	180	18543	0
2	171	18542	1.16959
0	133	18539	0
0	183	18533	0
0	171	18535	0
0	149	18533	0
1	165	18529	0.606061
3	195	18525	1.53846
0	169	18520	0
0	158	18503	0
7	154	18503	4.54545
3	165	18499	1.81818
1	176	18491	0.568182
0	174	18485	0
0	174	18420	0
3	136	18440	2.20588
6	152	18430	3.94737
3	150	18433	2
0	177	18428	0
1	193	18420	0.518135
0	156	18418	0
0	163	18417	0
0	172	18415	0
0	162	18414	0
0	157	18410	0
2	162	18397	1.23457
0	165	18397	0
0	185	18396	0
0	135	18397	0
0	152	18394	0
1	200	18391	0.5
0	186	18389	0
0	150	18386	0
0	176	18384	0
0	173	18297	0
1	168	18323	0.595238
0	169	18324	0
2	192	18324	1.04167
2	180	18316	1.11111
0	183	18311	0
0	159	18314	0
1	176	18309	0.568182
2	167	18309	1.1976
0	200	18309	0
3	218	18300	1.37615
1	165	18299	0.606061
0	167	18298	0
1	163	18301	0.613497
1	159	18303	0.628931
1	161	18304	0.621118
1	159	18303	0.628931
1	166	18297	0.60241
0	181	18284	0
0	185	18280	0
4	163	18198	2.45399
4	156	18233	2.5641
1	148	18235	0.675676
2	140	18232	1.42857
1	166	18219	0.60241
1	151	18211	0.662252
0	136	18210	0
0	164	18207	0
1	167	18204	0.598802
3	148	18200	2.02703
0	173	18188	0
1	160	18181	0.625
1	142	18175	0.704225
0	188	18178	0
0	173	18178	0
0	172	18170	0
2	163	18170	1.22699
1	165	18169	0.606061
1	166	18168	0.60241
3	173	18168	1.7341
0	164	18077	0
1	156	18114	0.641026
0	170	18113	0
0	174	18109	0
2	153	18107	1.30719
0	173	18117	0
4	175	18122	2.28571
1	177	18108	0.564972
2	186	18106	1.07527
4	155	18107	2.58065
1	185	18099	0.540541
0	159	18092	0
0	132	18089	0
3	153	18083	1.96078
1	157	18080	0.636943
2	164	18078	1.21951
4	156	18075	2.5641
0	175	18070	0
1	180	18056	0.555556
0	170	18050	0
1	169	17960	0.591716
1	169	18001	0.591716
2	145	17995	1.37931
4	157	17995	2.54777
0	166	17990	0
0	159	17991	0
2	184	17988	1.08696
1	151	17989	0.662252
0	172	17988	0
0	174	17985	0
0	169	17979	0
0	151	17977	0
2	147	17970	1.36054
2	176	17969	1.13636
2	137	17961	1.45985
0	159	17959	0
1	142	17954	0.704225
1	158	17951	0.632911
0	170	17948	0
1	183	17947	0.546448
1	174	17854	0.574713
0	188	17880	0
0	187	17870	0
1	156	17868	0.641026
0	156	17864	0
0	147	17862	0
8	167	17861	4.79042
0	160	17859	0
0	171	17862	0
1	158	17860	0.632911
0	136	17855	0
1	153	17852	0.653595
0	145	17849	0
0	137	17849	0
0	135	17845	0
0	180	17844	0
0	182	17829	0
2	151	17832	1.3245
0	151	17831	0
1	150	17824	0.666667
2	156	17744	1.28205
0	157	17786	0
1	162	17779	0.617284
0	160	17773	0
0	149	17766	0
2	174	17759	1.14943
0	146	17754	0
0	160	17754	0
0	145	17754	0
0	171	17750	0
0	123	17744	0
3	162	17743	1.85185
8	150	17738	5.33333
1	118	17735	0.847458
4	155	17729	2.58065
0	150	17727	0
1	161	17724	0.621118
2	139	17722	1.43885
0	140	17716	0
1	142	17711	0.704225
0	161	17671	0
1	185	17693	0.540541
0	140	17692	0
0	169	17694	0
1	146	17693	0.684932
0	146	17691	0
0	129	17692	0
0	172	17693	0
2	144	17689	1.38889
1	142	17680	0.704225
0	142	17674	0
0	174	17670	0
0	176	17669	0
1	134	17667	0.746269
1	164	17668	0.609756
0	165	17665	0
0	143	17669	0
1	130	17667	0.769231
0	156	17668	0
0	174	17672	0
0	144	17609	0
0	148	17644	0
1	148	17642	0.675676
1	146	17636	0.684932
0	137	17636	0
2	131	17635	1.52672
2	173	17633	1.15607
0	149	17636	0
3	192	17632	1.5625
1	142	17629	0.704225
0	144	17623	0
1	169	17619	0.591716
0	177	17619	0
1	143	17619	0.699301
2	167	17615	1.1976
0	144	17613	0
0	174	17609	0
0	140	17608	0
1	153	17606	0.653595
1	132	17610	0.757576
0	122	17537	0
0	150	17563	0
0	153	17561	0
1	145	17559	0.689655
0	157	17556	0
0	127	17557	0
1	109	17558	0.917431
0	170	17559	0
0	137	17562	0
1	152	17558	0.657895
0	156	17555	0
3	170	17551	1.76471
0	152	17546	0
0	154	17545	0
4	116	17542	3.44828
0	133	17545	0
0	157	17537	0
2	145	17528	1.37931
0	166	17525	0
0	182	17525	0
0	146	17453	0
2	144	17464	1.38889
2	147	17465	1.36054
1	143	17465	0.699301
4	95	17462	4.21053
0	145	17461	0
1	160	17462	0.625
1	155	17463	0.645161
2	163	17463	1.22699
1	149	17463	0.671141
1	138	17462	0.724638
0	153	17462	0
0	147	17460	0
1	152	17459	0.657895
0	143	17456	0
1	136	17455	0.735294
0	155	17459	0
0	159	17460	0
1	129	17450	0.775194
4	129	17452	3.10078
1	124	17388	0.806452
0	147	17421	0
0	134	17418	0
0	137	17416	0
1	125	17409	0.8
0	143	17404	0
3	163	17400	1.84049
2	146	17399	1.36986
3	108	17399	2.77778
0	152	17396	0
2	136	17399	1.47059
0	124	17393	0
1	138	17393	0.724638
1	141	17388	0.70922
0	148	17388	0
0	138	17384	0
1	146	17385	0.684932
1	142	17380	0.704225
0	120	17372	0
0	151	17373	0
1	162	17307	0.617284
0	131	17322	0
0	130	17324	0
0	149	17324	0
2	117	17327	1.7094
1	110	17326	0.909091
1	146	17321	0.684932
0	114	17318	0
0	134	17319	0
1	161	17314	0.621118
1	118	17315	0.847458
0	129	17314	0
0	149	17313	0
0	128	17308	0
1	155	17307	0.645161
1	137	17307	0.729927
2	127	17308	1.5748
0	145	17305	0
1	156	17306	0.641026
0	138	17305	0
0	165	17241	0
3	139	17260	2.15827
1	117	17258	0.854701
1	132	17257	0.757576
0	164	17257	0
0	142	17257	0
2	136	17256	1.47059
2	161	17253	1.24224
1	120	17248	0.833333
0	126	17245	0
0	145	17242	0
0	147	17242	0
1	123	17240	0.813008
0	151	17240	0
1	147	17239	0.680272
0	119	17239	0
1	115	17242	0.869565
0	131	17242	0
1	158	17240	0.632911
0	142	17239	0
1	146	17185	0.684932
0	121	17208	0
0	160	17205	0
0	126	17206	0
1	134	17205	0.746269
2	127	17206	1.5748
0	143	17207	0
1	135	17207	0.740741
0	164	17207	0
0	144	17205	0
0	145	17200	0
0	145	17197	0
0	114	17198	0
0	139	17199	0
1	143	17202	0.699301
0	108	17202	0
0	130	17196	0
2	184	17196	1.08696
1	142	17196	0.704225
2	131	17198	1.52672
0	107	17135	0
0	142	17151	0
0	140	17151	0
3	154	17143	1.94805
0	137	17140	0
0	145	17141	0
0	135	17140	0
1	112	17139	0.892857
1	150	17139	0.666667
0	106	17137	0
0	151	17140	0
1	139	17131	0.719424
1	132	17132	0.757576
1	159	17134	0.628931
0	143	17135	0
0	122	17138	0
0	123	17138	0
0	122	17136	0
1	124	17137	0.806452
0	133	17136	0
0	149	17094	0
0	146	17115	0
1	149	17116	0.671141
1	127	17117	0.787402
0	134	17114	0
0	121	17117	0
0	136	17119	0
2	119	17117	1.68067
0	121	17115	0
0	130	17122	0
0	139	17120	0
1	142	17121	0.704225
0	116	17117	0
0	153	17119	0
0	120	17117	0
0	141	17119	0
0	134	17120	0
0	144	17108	0
2	146	17108	1.36986
0	166	17108	0
1	121	17058	0.826446
1	139	17077	0.719424
0	125	17075	0
0	126	17078	0
0	112	17079	0
0	131	17078	0
2	160	17079	1.25
1	122	17075	0.819672
0	176	17074	0
0	124	17068	0
0	160	17068	0
0	134	17066	0
1	147	17066	0.680272
0	114	17067	0
0	173	17066	0
1	130	17066	0.769231
4	150	17060	2.66667
0	144	17055	0
1	130	17053	0.769231
0	126	17056	0
2	140	17004	1.42857
0	99	17015	0
0	130	17016	0
2	135	17017	1.48148
1	109	17013	0.917431
0	166	17015	0
0	120	17014	0
0	150	17015	0
0	122	17012	0
0	112	17011	0
0	147	17012	0
0	123	17010	0
0	146	17009	0
1	143	17009	0.699301
2	128	17006	1.5625
2	131	17004	1.52672
0	123	17002	0
1	131	17004	0.763359
1	136	17003	0.735294
0	130	17004	0
0	144	16977	0
2	118	16989	1.69492
0	114	16987	0
1	156	16990	0.641026
0	162	16987	0
0	133	16986	0
2	139	16985	1.43885
0	119	16986	0
0	136	16984	0
1	148	16985	0.675676
0	113	16985	0
1	128	16982	0.78125
0	137	16980	0
0	135	16981	0
0	130	16984	0
0	130	16982	0
0	101	16983	0
0	108	16984	0
1	134	16987	0.746269
0	150	16986	0
1	138	16963	0.724638
0	116	16975	0
1	121	16980	0.826446
3	114	16978	2.63158
0	121	16974	0
0	157	16974	0
0	113	16975	0
0	124	16973	0
0	134	16975	0
1	119	16978	0.840336
0	125	16977	0
2	120	16977	1.66667
1	129	16978	0.775194
1	141	16977	0.70922
1	125	16975	0.8
0	126	16976	0
0	119	16973	0
0	136	16975	0
0	144	16976	0
0	125	16979	0
1	140	16954	0.714286
0	141	16968	0
4	139	16968	2.8777
0	110	16969	0
3	134	16967	2.23881
0	130	16967	0
1	111	16968	0.900901
0	120	16967	0
0	120	16964	0
1	122	16966	0.819672
0	125	16971	0
1	155	16966	0.645161
2	118	16960	1.69492
0	119	16957	0
1	138	16957	0.724638
1	122	16957	0.819672
0	117	16954	0
0	114	16956	0
0	143	16958	0
1	118	16956	0.847458
0	122	16931	0
0	100	16943	0
1	141	16943	0.70922
3	129	16939	2.32558
0	109	16936	0
0	124	16942	0
0	113	16941	0
1	112	16940	0.892857
0	136	16934	0
0	104	16932	0
2	150	16933	1.33333
0	134	16927	0
0	140	16928	0
0	113	16932	0
2	146	16933	1.36986
2	119	16935	1.68067
0	102	16936	0
0	133	16934	0
2	113	16936	1.76991
0	105	16937	0
1	134	16923	0.746269
1	104	16933	0.961538
0	137	16928	0
0	131	16923	0
0	126	16925	0
0	138	16920	0
0	127	16920	0
0	104	16921	0
1	118	16922	0.847458
0	115	16921	0
1	101	16922	0.990099
2	157	16921	1.27389
1	120	16922	0.833333
0	127	16920	0
1	128	16918	0.78125
0	127	16920	0
0	144	16919	0
1	105	16918	0.952381
0	127	16923	0
0	122	16922	0
0	130	16884	0
0	143	16890	0
0	118	16888	0
0	127	16888	0
0	114	16888	0
0	112	16889	0
2	140	16890	1.42857
0	133	16888	0
0	111	16891	0
1	134	16891	0.746269
0	118	16893	0
5	124	16893	4.03226
0	102	16894	0
0	127	16894	0
0	129	16890	0
0	120	16887	0
1	128	16886	0.78125
0	112	16886	0
1	116	16885	0.862069
0	121	16886	0
0	114	16865	0
0	105	16869	0
0	128	16871	0
0	142	16870	0
0	154	16868	0
0	125	16867	0
0	115	16867	0
1	158	16869	0.632911
3	118	16871	2.54237
0	165	16868	0
1	130	16866	0.769231
0	128	16865	0
0	117	16864	0
0	115	16865	0
1	135	16867	0.740741
2	110	16867	1.81818
1	138	16867	0.724638
0	111	16867	0
1	116	16866	0.862069
0	100	16867	0
0	153	16856	0
5	123	16868	4.06504
0	120	16868	0
0	122	16869	0
2	127	16868	1.5748
0	110	16866	0
1	128	16862	0.78125
1	126	16857	0.793651
0	115	16856	0
0	138	16858	0
0	113	16859	0
0	132	16857	0
1	102	16858	0.980392
0	130	16859	0
0	134	16860	0
0	127	16861	0
0	102	16863	0
1	109	16865	0.917431
0	113	16865	0
3	132	16864	2.27273
0	131	16842	0
1	121	16860	0.826446
0	119	16862	0
0	118	16864	0
0	102	16863	0
1	114	16864	0.877193
0	131	16864	0
1	105	16864	0.952381
0	130	16867	0
2	107	16863	1.86916
0	142	16862	0
1	117	16862	0.854701
0	137	16862	0
1	120	16860	0.833333
0	133	16862	0
0	180	16864	0
0	148	16864	0
0	108	16864	0
0	142	16865	0
0	133	16864	0
3	107	16850	2.80374
