obs_mutation_count	exp_mutation_count	region_size	obs_exp_ratio
0	59	11075	0
1	69	11074	1.44928
0	70	11071	0
1	77	11084	1.2987
0	63	11083	0
0	66	11083	0
1	71	11082	1.40845
0	77	11082	0
1	91	11078	1.0989
2	60	11069	3.33333
0	70	11133	0
1	71	11128	1.40845
1	70	11125	1.42857
0	75	11123	0
0	64	11117	0
0	77	11109	0
0	81	11107	0
3	59	11105	5.08475
0	69	11103	0
1	85	11100	1.17647
1	63	11101	1.5873
0	73	11098	0
0	55	11094	0
0	66	11090	0
0	81	11088	0
0	79	11087	0
0	78	11088	0
0	68	11087	0
2	70	11085	2.85714
0	75	11087	0
0	64	11084	0
0	94	11083	0
1	69	11084	1.44928
0	73	11080	0
0	79	11075	0
0	70	11076	0
0	68	11078	0
0	65	11082	0
0	56	11081	0
2	76	11080	2.63158
2	70	11074	2.85714
0	74	11072	0
0	77	11071	0
1	73	11070	1.36986
0	78	11074	0
1	77	11071	1.2987
1	65	11071	1.53846
0	77	11070	0
0	59	11071	0
1	67	11074	1.49254
0	70	11073	0
0	68	11073	0
0	61	11071	0
0	64	11077	0
1	81	11077	1.23457
0	75	11081	0
0	65	11081	0
3	87	11082	3.44828
0	70	11084	0
1	78	11091	1.28205
1	60	11096	1.66667
0	63	11098	0
0	60	11103	0
0	56	11107	0
0	70	11108	0
0	66	11110	0
0	76	11112	0
0	61	11114	0
0	59	11116	0
1	60	11120	1.66667
2	66	11120	3.0303
0	58	11123	0
1	68	11125	1.47059
0	71	11131	0
1	75	11131	1.33333
0	60	11136	0
0	62	11135	0
1	57	11139	1.75439
0	71	11143	0
0	75	11146	0
0	82	11147	0
0	69	11149	0
0	77	11152	0
0	87	11154	0
0	76	11154	0
0	60	11157	0
0	65	11158	0
1	70	11162	1.42857
1	84	11166	1.19048
2	64	11172	3.125
0	69	11172	0
1	60	11172	1.66667
0	75	11172	0
1	60	11173	1.66667
0	79	11174	0
0	73	11174	0
0	65	11175	0
0	88	11176	0
0	73	11176	0
0	71	11178	0
2	67	11178	2.98507
0	69	11179	0
0	67	11181	0
0	74	11184	0
2	53	11185	3.77358
1	67	11185	1.49254
1	68	11185	1.47059
0	58	11186	0
0	63	11186	0
2	64	11186	3.125
0	64	11188	0
2	60	11188	3.33333
1	67	11188	1.49254
1	67	11189	1.49254
0	64	11189	0
0	85	11189	0
0	62	11189	0
1	81	11190	1.23457
0	70	11191	0
0	67	11191	0
0	75	11191	0
0	78	11192	0
1	74	11192	1.35135
1	85	11193	1.17647
1	78	11194	1.28205
0	57	11194	0
0	71	11194	0
0	67	11194	0
1	90	11194	1.11111
1	85	11194	1.17647
0	74	11194	0
0	75	11194	0
0	72	11195	0
1	72	11195	1.38889
2	75	11195	2.66667
0	55	11195	0
0	57	11195	0
0	69	11195	0
0	75	11195	0
1	66	11195	1.51515
1	67	11196	1.49254
0	54	11196	0
1	80	11196	1.25
0	74	11196	0
0	80	11196	0
0	59	11196	0
0	74	11196	0
2	63	11196	3.1746
2	64	11196	3.125
1	72	11196	1.38889
0	62	11196	0
1	67	11196	1.49254
3	59	11196	5.08475
0	68	11196	0
0	67	11196	0
0	88	11196	0
0	64	11196	0
1	58	11196	1.72414
0	83	11196	0
0	75	11196	0
0	66	11196	0
0	69	11196	0
0	63	11195	0
0	76	11196	0
0	64	11196	0
1	69	11196	1.44928
0	76	11196	0
2	67	11196	2.98507
1	77	11196	1.2987
0	60	11196	0
1	64	11196	1.5625
1	71	11196	1.40845
3	71	11196	4.22535
0	77	11196	0
0	65	11196	0
1	68	11196	1.47059
0	71	11196	0
1	81	11196	1.23457
1	89	11196	1.1236
1	70	11196	1.42857
0	71	11196	0
0	73	11196	0
0	79	11196	0
1	70	11196	1.42857
1	67	11196	1.49254
2	71	11196	2.8169
0	72	11196	0
0	86	11196	0
0	73	11196	0
0	59	11196	0
1	82	11196	1.21951
0	72	11196	0
2	58	11196	3.44828
0	81	11196	0
1	75	11196	1.33333
0	72	11196	0
0	66	11196	0
1	81	11196	1.23457
0	62	11196	0
0	63	11196	0
2	83	11196	2.40964
0	64	11196	0
0	58	11196	0
0	72	11196	0
0	91	11196	0
0	70	11196	0
0	76	11196	0
0	77	11196	0
1	74	11196	1.35135
0	71	11196	0
0	80	11196	0
0	63	11196	0
1	78	11196	1.28205
0	65	11196	0
0	67	11196	0
2	70	11196	2.85714
0	65	11196	0
0	66	11196	0
0	70	11196	0
0	69	11195	0
0	74	11195	0
1	65	11195	1.53846
0	69	11195	0
0	83	11195	0
1	71	11195	1.40845
1	68	11195	1.47059
0	61	11195	0
1	71	11195	1.40845
0	68	11195	0
2	70	11195	2.85714
1	80	11195	1.25
1	73	11195	1.36986
0	72	11193	0
1	68	11193	1.47059
0	71	11193	0
2	62	11193	3.22581
0	83	11193	0
2	69	11193	2.89855
0	63	11193	0
2	59	11193	3.38983
0	75	11193	0
1	72	11192	1.38889
0	69	11192	0
2	78	11192	2.5641
2	84	11192	2.38095
0	57	11192	0
1	62	11192	1.6129
0	81	11192	0
1	72	11192	1.38889
0	80	11192	0
0	73	11192	0
0	64	11192	0
0	70	11192	0
2	66	11192	3.0303
0	69	11192	0
0	68	11192	0
0	72	11192	0
0	94	11192	0
0	78	11192	0
0	68	11192	0
0	54	11192	0
1	80	11192	1.25
1	62	11192	1.6129
0	64	11192	0
1	60	11192	1.66667
0	69	11192	0
0	76	11192	0
0	74	11192	0
1	65	11192	1.53846
0	70	11192	0
0	72	11192	0
1	68	11192	1.47059
0	71	11192	0
0	84	11192	0
0	82	11192	0
0	63	11192	0
0	69	11192	0
0	63	11192	0
0	72	11192	0
0	75	11192	0
1	70	11192	1.42857
0	62	11192	0
0	58	11192	0
1	65	11192	1.53846
0	56	11192	0
0	71	11192	0
1	77	11192	1.2987
0	88	11192	0
1	69	11191	1.44928
0	63	11190	0
1	70	11189	1.42857
0	81	11189	0
0	60	11189	0
0	61	11189	0
0	77	11189	0
0	58	11189	0
1	68	11189	1.47059
1	60	11190	1.66667
1	69	11190	1.44928
0	65	11190	0
0	66	11190	0
0	72	11189	0
0	70	11189	0
0	74	11189	0
1	65	11189	1.53846
0	74	11189	0
1	64	11189	1.5625
0	65	11189	0
0	72	11189	0
0	64	11189	0
0	68	11189	0
2	57	11189	3.50877
1	64	11189	1.5625
0	80	11189	0
0	82	11189	0
0	57	11189	0
1	65	11189	1.53846
1	74	11189	1.35135
1	63	11189	1.5873
1	76	11189	1.31579
0	62	11189	0
0	68	11189	0
0	66	11189	0
1	66	11189	1.51515
0	75	11189	0
0	71	11189	0
0	72	11189	0
1	76	11189	1.31579
0	79	11190	0
0	84	11190	0
0	77	11190	0
0	70	11190	0
0	82	11190	0
0	71	11190	0
1	54	11190	1.85185
1	74	11190	1.35135
0	73	11190	0
1	74	11190	1.35135
0	68	11190	0
0	68	11190	0
0	74	11191	0
0	83	11191	0
0	87	11191	0
0	58	11191	0
1	81	11191	1.23457
0	89	11191	0
0	90	11191	0
0	57	11191	0
0	88	11190	0
0	65	11190	0
0	75	11191	0
2	72	11191	2.77778
0	80	11191	0
0	64	11191	0
0	72	11191	0
0	76	11191	0
0	84	11191	0
0	63	11191	0
