obs_mutation_count	exp_mutation_count	region_size	obs_exp_ratio
0	81	11187	0
1	69	11187	1.44928
1	80	11187	1.25
1	72	11187	1.38889
1	64	11187	1.5625
3	71	11187	4.22535
3	72	11187	4.16667
1	82	11187	1.21951
0	61	11187	0
1	84	11187	1.19048
2	113	11187	1.76991
0	71	11187	0
1	98	11187	1.02041
1	70	11187	1.42857
2	86	11187	2.32558
1	70	11187	1.42857
0	72	11187	0
1	75	11187	1.33333
1	101	11187	0.990099
3	92	11187	3.26087
0	117	11187	0
2	108	11187	1.85185
1	113	11187	0.884956
2	111	11187	1.8018
2	92	11187	2.17391
2	73	11187	2.73973
3	70	11187	4.28571
0	57	11187	0
1	68	11187	1.47059
0	83	11187	0
0	72	11187	0
0	75	11187	0
2	89	11187	2.24719
1	75	11187	1.33333
1	85	11187	1.17647
0	74	11187	0
1	77	11187	1.2987
0	70	11187	0
0	72	11187	0
