Motif	Number_mutations	Binary_mutations	Binary_Genic	Rep_Time	XPD	CTCF	DHS	POLR2A
chr1:91255-91594_-	0	0	0	61.54305	-0.713696	0.226972	0.3954266667	0.115714
chr1:91263-91602_+	0	0	0	61.54305	-0.856848	0.226972	0.3954266667	0.115714
chr1:91273-91612_+	0	0	0	61.54305	-0.856848	0.226972	0.3954266667	0.115714
chr1:805141-805480_+	0	0	1	69.4573	0.6070625	0.674601	1.383989667	0.105787
chr1:839991-840330_+	2	1	0	71.8515	2.2979312	1.22082	3.0398335	0.818743
chr1:873459-873798_-	0	0	1	75.3853	1.024309167	0.955857	2.287818286	0.51358
chr1:873516-873855_-	0	0	1	75.4421	0.5560751429	0.842133	2.22426725	0.259574
chr1:919530-919869_+	1	1	0	80.4477	1.695441667	0.601005	1.186275143	-0.158864
chr1:919540-919879_+	1	1	0	80.4477	1.695441667	0.601005	1.186275143	-0.158864
chr1:937243-937582_-	0	0	0	81.9807	1.107286667	1.00361	2.54202	1.0732
chr1:950777-951116_+	1	1	0	82.9184	2.119951429	-0.486221	1.482844667	-0.731293
chr1:999181-999520_-	0	0	1	84.45205	1.62618025	0.960137	2.2242675	0.69578
chr1:999189-999528_+	0	0	1	84.45205	1.62618025	0.960137	2.2242675	0.69578
chr1:999218-999557_-	0	0	1	84.45205	1.798989	0.95966	2.52083625	0.812633
chr1:1057486-1057825_+	0	0	0	84.20765	0.9507214286	1.03427	2.66912225	0.153248
chr1:1225545-1225884_-	0	0	1	84.137	0.112326875	0.957167	1.440478286	0.109265
chr1:1227235-1227574_-	0	0	1	84.145	-0.2219841	0.302302	5.11582375	-0.865724
chr1:1677509-1677848_-	0	0	0	82.0491	1.341436667	0.718453	3.677454	0.567988
chr1:1727922-1728261_-	0	0	1	81.8171	1.941243471	0.110327	0.5931393333	0.038023
chr1:1728011-1728350_-	0	0	1	81.8171	2.403842	0.267211	0.296569	0.331364
chr1:1840405-1840744_-	0	0	0	82.60235	.	0.534591	3.954255	0.311551
chr1:1875442-1875781_+	0	0	1	82.71735	0.164027	0.840581	1.186276857	0.125282
chr1:1976269-1976608_-	0	0	0	82.27485	0.8599856667	0.603127	1.186276286	0.572834
chr1:1977912-1978251_-	1	1	0	82.2679	0.948453	0.884363	2.118350857	0.214952
chr1:2071202-2071541_-	0	0	1	82.07845	1.265511429	0.189032	0.9490192	0.00412005
chr1:2071405-2071744_-	0	0	1	82.07845	1.336109571	0.411265	1.440478286	0.536722
chr1:2105732-2106071_-	0	0	1	81.8871	0.762971525	1.10935	4.37438825	0.39421
chr1:2126631-2126970_+	0	0	1	81.6653	1.435992912	1.13746	6.270318571	-0.273286
chr1:2242930-2243269_+	0	0	0	79.4275	0.783405125	-0.0994017	2.1352952	0.0548362
chr1:2243036-2243375_-	0	0	0	79.4275	0.6788581667	0.0147427	2.2539236	0.233737
chr1:2313191-2313530_-	0	0	1	78.51115	1.566512625	1.00868	3.135158	-0.569083
chr1:2345835-2346174_+	0	0	0	78.3965	1.577021429	0.920109	1.285131333	-0.179849
chr1:2361512-2361851_+	0	0	1	78.4032	1.351361375	-0.629411	0.9885626667	-0.607251
chr1:2479462-2479801_-	0	0	0	76.5201	0.4113006375	1.10675	3.113976	0.436139
chr1:2486423-2486762_+	0	0	0	76.0653	0.8363792	0.0770085	1.878268333	-0.0233109
chr1:2703200-2703539_-	0	0	1	52.1046	0.7403101333	0.174806	1.08742	-0.561771
chr1:2703210-2703549_-	0	0	1	52.1046	0.7403101333	0.174806	1.08742	-0.561771
chr1:2738569-2738908_+	1	1	0	51.9014	0.965411	0.22547	1.186275143	0.141939
