obs_mutation_count	exp_mutation_count	region_size	obs_exp_ratio
1	32	19532	3.125
1	33	19532	3.0303
1	27	19532	3.7037
2	50	19531	4
0	42	19530	0
1	28	19530	3.57143
0	37	19531	0
0	29	19531	0
1	33	19531	3.0303
1	44	19531	2.27273
0	30	19530	0
3	42	19530	7.14286
0	28	19530	0
0	27	19529	0
1	32	19529	3.125
1	35	19531	2.85714
0	30	19531	0
1	36	19532	2.77778
0	29	19533	0
0	25	19533	0
0	26	19533	0
0	15	19533	0
0	35	19534	0
0	31	19534	0
0	21	19535	0
1	35	19535	2.85714
0	31	19535	0
1	42	19533	2.38095
1	30	19533	3.33333
0	26	19533	0
0	29	19533	0
3	27	19532	11.1111
0	25	19532	0
3	35	19532	8.57143
1	33	19532	3.0303
0	33	19532	0
3	33	19532	9.09091
1	36	19530	2.77778
0	33	19525	0
0	26	19525	0
1	25	19521	4
1	31	19522	3.22581
1	36	19521	2.77778
0	39	19521	0
2	39	19519	5.12821
0	55	19518	0
1	38	19518	2.63158
0	38	19516	0
0	25	19516	0
3	40	19515	7.5
0	27	19514	0
0	28	19511	0
0	29	19511	0
0	22	19510	0
0	29	19510	0
0	27	19508	0
0	31	19507	0
0	30	19505	0
0	42	19505	0
1	44	19502	2.27273
0	26	19499	0
1	23	19496	4.34783
4	44	19494	9.09091
2	37	19493	5.40541
0	29	19491	0
0	30	19486	0
0	34	19482	0
0	39	19473	0
1	23	19474	4.34783
0	29	19472	0
0	21	19469	0
5	45	19469	11.1111
0	29	19465	0
0	32	19463	0
0	19	19465	0
0	32	19465	0
1	28	19460	3.57143
0	29	19460	0
0	35	19460	0
0	20	19459	0
0	33	19455	0
0	34	19453	0
3	25	19452	12
0	25	19451	0
1	19	19450	5.26316
1	37	19449	2.7027
0	26	19445	0
0	29	19448	0
2	39	19446	5.12821
1	35	19447	2.85714
0	23	19449	0
0	19	19445	0
0	35	19445	0
0	27	19439	0
0	23	19439	0
0	32	19440	0
0	43	19435	0
1	18	19435	5.55556
0	24	19435	0
0	24	19433	0
0	41	19424	0
0	29	19422	0
1	29	19419	3.44828
3	24	19420	12.5
1	27	19421	3.7037
0	36	19419	0
0	29	19419	0
0	29	19418	0
0	30	19415	0
0	40	19407	0
0	26	19400	0
1	32	19400	3.125
0	36	19395	0
2	35	19394	5.71429
0	25	19393	0
0	24	19391	0
1	38	19386	2.63158
0	27	19388	0
0	37	19381	0
0	40	19378	0
2	34	19376	5.88235
1	24	19368	4.16667
0	29	19366	0
4	33	19368	12.1212
0	28	19365	0
0	24	19360	0
0	21	19362	0
0	41	19354	0
0	26	19348	0
1	21	19350	4.7619
1	34	19349	2.94118
0	34	19341	0
0	36	19340	0
1	31	19333	3.22581
1	31	19332	3.22581
0	34	19334	0
1	32	19330	3.125
1	30	19326	3.33333
0	42	19318	0
0	26	19313	0
0	33	19313	0
0	25	19311	0
2	43	19298	4.65116
0	34	19297	0
2	32	19293	6.25
2	40	19294	5
0	19	19296	0
0	36	19290	0
0	22	19282	0
0	28	18932	0
1	29	18992	3.44828
2	40	18981	5
0	24	18979	0
1	31	18980	3.22581
0	28	18979	0
0	34	18972	0
1	24	18971	4.16667
0	55	18969	0
0	28	18963	0
2	51	18945	3.92157
2	28	18940	7.14286
0	24	18937	0
1	45	18939	2.22222
0	28	18933	0
1	20	18932	5
0	28	18923	0
0	34	18924	0
0	33	18919	0
0	34	18909	0
1	25	18908	4
1	38	18911	2.63158
0	37	18904	0
1	25	18902	4
0	28	18895	0
2	40	18893	5
0	28	18892	0
1	36	18887	2.77778
1	28	18890	3.57143
1	31	18890	3.22581
0	28	18878	0
0	20	18873	0
3	15	18871	20
1	33	18854	3.0303
1	30	18850	3.33333
0	35	18848	0
0	35	18844	0
2	36	18848	5.55556
0	35	18832	0
0	33	18828	0
1	40	18819	2.5
0	35	18818	0
0	20	18812	0
0	50	18805	0
4	44	18798	9.09091
0	13	18787	0
1	39	18780	2.5641
2	38	18775	5.26316
0	46	18764	0
0	37	18762	0
0	29	18741	0
0	34	18734	0
3	22	18730	13.6364
2	22	18722	9.09091
1	20	18718	5
0	32	18710	0
0	40	18706	0
0	30	18703	0
0	35	18694	0
0	43	18693	0
2	56	18684	3.57143
0	34	18680	0
0	38	18678	0
0	29	18675	0
0	30	18671	0
0	20	18671	0
2	32	18667	6.25
0	29	18665	0
0	32	18657	0
0	25	18655	0
0	30	18613	0
2	30	18620	6.66667
2	17	18620	11.7647
1	21	18615	4.7619
1	36	18608	2.77778
0	27	18599	0
0	31	18601	0
0	34	18599	0
2	34	18599	5.88235
0	33	18586	0
1	38	18582	2.63158
1	29	18579	3.44828
1	33	18569	3.0303
