obs_mutation_count	exp_mutation_count	region_size	obs_exp_ratio
0	13	5585	0
1	8	5585	12.5
1	17	5585	5.88235
0	3	5585	0
0	9	5585	0
0	3	5585	0
0	14	5585	0
0	8	5585	0
1	14	5585	7.14286
0	10	5585	0
1	5	5585	20
0	5	5585	0
0	6	5585	0
0	4	5585	0
2	6	5585	33.3333
0	11	5585	0
0	6	5585	0
0	5	5584	0
0	15	5584	0
0	7	5584	0
0	7	5583	0
0	10	5583	0
6	3	5583	200
0	6	5582	0
0	12	5582	0
0	4	5582	0
0	8	5582	0
0	7	5582	0
0	11	5582	0
0	8	5582	0
0	11	5582	0
0	10	5581	0
0	2	5581	0
0	7	5580	0
0	20	5580	0
0	11	5580	0
4	7	5580	57.1429
0	8	5580	0
0	13	5580	0
0	4	5580	0
0	16	5580	0
0	12	5580	0
0	9	5580	0
0	6	5580	0
0	8	5580	0
0	12	5580	0
3	9	5580	33.3333
0	9	5580	0
0	11	5580	0
0	4	5580	0
0	7	5580	0
0	17	5580	0
0	6	5580	0
0	11	5580	0
0	11	5580	0
0	8	5580	0
0	8	5580	0
0	15	5580	0
0	10	5580	0
0	9	5580	0
1	12	5580	8.33333
2	7	5580	28.5714
0	5	5580	0
1	6	5580	16.6667
0	16	5580	0
0	12	5580	0
0	11	5579	0
0	10	5577	0
0	8	5577	0
0	11	5577	0
1	6	5576	16.6667
0	8	5576	0
0	5	5576	0
0	4	5576	0
0	5	5575	0
0	12	5575	0
0	6	5574	0
0	1	5574	0
0	10	5571	0
0	6	5571	0
0	10	5569	0
0	10	5568	0
1	9	5567	11.1111
0	10	5566	0
0	7	5563	0
0	11	5563	0
0	4	5559	0
0	1	5558	0
0	5	5556	0
1	8	5556	12.5
0	6	5554	0
0	6	5551	0
0	17	5542	0
0	8	5528	0
0	8	5519	0
0	7	5507	0
0	14	5502	0
0	8	5489	0
0	7	5479	0
0	15	5465	0
0	7	5457	0
1	11	5453	9.09091
0	9	5446	0
0	9	5441	0
1	12	5433	8.33333
0	4	5422	0
0	13	5404	0
0	12	5395	0
0	7	5390	0
0	6	5387	0
0	4	5378	0
0	13	5369	0
0	6	5360	0
1	3	5356	33.3333
3	10	5351	30
1	6	5350	16.6667
0	9	5337	0
0	7	5332	0
0	6	5322	0
2	13	5315	15.3846
0	13	5307	0
1	8	5298	12.5
0	15	5291	0
0	8	5288	0
1	14	5282	7.14286
0	4	5279	0
0	13	5274	0
0	14	5273	0
0	12	5268	0
0	7	5263	0
0	5	5257	0
0	8	5255	0
0	7	5251	0
0	1	5247	0
0	10	5241	0
0	7	5240	0
0	3	5237	0
0	5	5232	0
0	12	5228	0
0	3	5226	0
0	7	5218	0
0	10	5218	0
1	11	5217	9.09091
1	5	5215	20
0	11	5210	0
1	12	5209	8.33333
0	11	5205	0
0	7	5202	0
0	7	5199	0
1	10	5163	10
0	6	5161	0
1	2	5159	50
0	4	5156	0
1	2	5156	50
0	3	5156	0
0	14	5154	0
0	1	5149	0
0	9	5149	0
0	10	5148	0
0	4	5144	0
1	7	5144	14.2857
0	11	5142	0
0	11	5142	0
0	6	5141	0
1	8	5140	12.5
0	4	5140	0
0	4	5139	0
0	9	5138	0
2	11	5136	18.1818
0	6	5135	0
1	5	5133	20
0	13	5131	0
0	9	5126	0
1	5	5125	20
0	11	5123	0
0	8	5123	0
0	11	5114	0
0	10	5113	0
0	9	5112	0
0	7	5112	0
0	4	5112	0
0	14	5112	0
0	7	5112	0
0	9	5112	0
2	7	5111	28.5714
0	9	5111	0
1	6	5109	16.6667
0	8	5106	0
0	4	5102	0
0	3	5099	0
0	7	5098	0
0	5	5095	0
0	5	5091	0
0	3	5091	0
0	10	5091	0
0	5	5091	0
0	9	5088	0
0	15	5087	0
0	8	5086	0
0	3	5081	0
0	10	5079	0
0	10	5075	0
0	14	5075	0
0	10	5074	0
0	14	5072	0
0	4	5072	0
0	7	5071	0
0	7	5069	0
0	13	5067	0
0	8	5064	0
0	6	5058	0
0	4	5058	0
0	12	5055	0
0	11	5054	0
1	5	5054	20
0	14	5052	0
0	5	5049	0
0	9	5049	0
0	8	5049	0
1	2	5044	50
0	10	5044	0
0	8	5041	0
0	7	5041	0
0	3	5040	0
0	9	5037	0
0	8	5036	0
0	5	5034	0
0	8	5029	0
0	8	5029	0
0	3	5024	0
0	17	5022	0
0	16	5019	0
0	6	5017	0
0	10	5016	0
0	7	5014	0
0	10	5012	0
0	16	5011	0
4	5	5010	80
0	8	5009	0
1	13	5008	7.69231
0	6	5005	0
0	13	5004	0
1	7	5004	14.2857
0	7	5003	0
0	5	5002	0
0	12	4999	0
0	7	4997	0
0	7	4995	0
0	11	4993	0
0	10	4990	0
0	7	4990	0
0	4	4987	0
0	6	4985	0
0	13	4984	0
0	10	4983	0
0	7	4980	0
0	7	4970	0
1	14	4966	7.14286
