obs_mutation_count	exp_mutation_count	region_size	obs_exp_ratio
0	79	11079	0
0	89	11078	0
0	93	11075	0
0	66	11088	0
0	77	11087	0
2	74	11087	2.7027
0	83	11086	0
1	89	11086	1.1236
0	63	11082	0
3	80	11074	3.75
3	77	11137	3.8961
1	82	11132	1.21951
1	89	11129	1.1236
1	76	11127	1.31579
0	91	11121	0
1	91	11113	1.0989
1	104	11111	0.961538
0	72	11109	0
1	82	11106	1.21951
3	75	11103	4
0	80	11105	0
1	78	11102	1.28205
1	92	11098	1.08696
1	72	11092	1.38889
0	92	11090	0
1	60	11088	1.66667
0	100	11088	0
0	68	11086	0
0	75	11084	0
1	72	11084	1.38889
0	74	11082	0
1	73	11081	1.36986
1	90	11081	1.11111
2	91	11077	2.1978
0	70	11072	0
1	75	11073	1.33333
0	65	11075	0
0	64	11079	0
0	86	11078	0
0	79	11077	0
2	75	11071	2.66667
0	67	11069	0
0	88	11069	0
0	81	11068	0
0	63	11072	0
1	59	11069	1.69492
1	76	11069	1.31579
0	55	11067	0
0	65	11068	0
0	89	11071	0
1	64	11070	1.5625
1	65	11069	1.53846
0	59	11068	0
1	62	11075	1.6129
0	75	11075	0
0	67	11078	0
4	79	11078	5.06329
1	75	11079	1.33333
1	73	11082	1.36986
0	62	11089	0
1	65	11094	1.53846
1	77	11096	1.2987
0	78	11101	0
1	83	11105	1.20482
1	87	11106	1.14943
2	53	11108	3.77358
1	59	11110	1.69492
0	83	11113	0
0	50	11115	0
0	76	11119	0
0	66	11120	0
0	86	11124	0
0	74	11125	0
1	66	11131	1.51515
0	61	11131	0
2	54	11136	3.7037
2	71	11135	2.8169
0	74	11138	0
1	69	11142	1.44928
1	90	11145	1.11111
0	76	11146	0
0	72	11147	0
1	81	11150	1.23457
1	69	11152	1.44928
0	73	11152	0
0	65	11155	0
1	71	11156	1.40845
0	59	11160	0
0	61	11164	0
0	79	11170	0
1	75	11170	1.33333
1	71	11170	1.40845
1	72	11171	1.38889
0	54	11172	0
0	64	11173	0
1	63	11173	1.5873
1	65	11174	1.53846
1	63	11175	1.5873
0	59	11175	0
1	74	11177	1.35135
1	73	11177	1.36986
1	86	11178	1.16279
2	73	11179	2.73973
2	69	11182	2.89855
0	73	11183	0
0	68	11183	0
0	76	11183	0
1	68	11184	1.47059
0	72	11185	0
0	68	11185	0
0	72	11186	0
0	50	11186	0
0	87	11186	0
0	77	11187	0
0	65	11187	0
0	62	11187	0
1	67	11187	1.49254
0	66	11188	0
1	58	11189	1.72414
0	63	11189	0
0	57	11189	0
0	68	11190	0
0	77	11190	0
2	63	11191	3.1746
1	65	11192	1.53846
1	70	11192	1.42857
1	81	11192	1.23457
1	56	11192	1.78571
1	76	11192	1.31579
1	77	11192	1.2987
0	60	11192	0
0	71	11192	0
1	71	11193	1.40845
0	76	11193	0
0	66	11193	0
0	60	11193	0
0	60	11193	0
1	65	11193	1.53846
0	83	11193	0
1	78	11193	1.28205
0	72	11194	0
1	70	11194	1.42857
1	69	11194	1.44928
1	91	11194	1.0989
0	74	11194	0
0	71	11194	0
0	75	11194	0
0	62	11194	0
1	77	11194	1.2987
0	62	11194	0
1	80	11194	1.25
