obs_mutation_count	exp_mutation_count	region_size	obs_exp_ratio
1	81	11075	1.23457
0	79	11074	0
0	90	11071	0
1	83	11084	1.20482
2	72	11083	2.77778
1	78	11083	1.28205
0	78	11082	0
1	81	11082	1.23457
2	83	11078	2.40964
0	90	11069	0
0	92	11133	0
0	72	11128	0
1	79	11125	1.26582
1	69	11123	1.44928
1	90	11117	1.11111
0	82	11109	0
1	103	11107	0.970874
0	71	11105	0
0	79	11103	0
2	95	11100	2.10526
0	74	11101	0
1	87	11098	1.14943
2	81	11094	2.46914
1	81	11090	1.23457
1	85	11088	1.17647
0	97	11087	0
1	89	11088	1.1236
0	73	11087	0
1	98	11085	1.02041
0	100	11087	0
1	90	11084	1.11111
0	84	11083	0
0	90	11084	0
1	66	11080	1.51515
1	82	11075	1.21951
0	92	11076	0
2	88	11078	2.27273
0	87	11082	0
0	69	11081	0
0	68	11080	0
1	94	11074	1.06383
0	77	11072	0
1	90	11071	1.11111
0	85	11070	0
0	87	11074	0
0	82	11071	0
2	79	11071	2.53165
0	86	11070	0
0	73	11071	0
4	82	11074	4.87805
0	93	11073	0
1	94	11073	1.06383
0	70	11071	0
0	90	11077	0
1	74	11077	1.35135
1	75	11081	1.33333
0	82	11081	0
1	91	11082	1.0989
0	93	11084	0
0	97	11091	0
1	71	11096	1.40845
1	89	11098	1.1236
2	79	11103	2.53165
3	92	11107	3.26087
3	89	11108	3.37079
2	80	11110	2.5
0	91	11112	0
1	80	11114	1.25
0	88	11116	0
4	89	11120	4.49438
1	102	11120	0.980392
1	72	11123	1.38889
1	69	11125	1.44928
1	64	11131	1.5625
1	85	11131	1.17647
1	62	11136	1.6129
0	69	11135	0
0	65	11139	0
0	91	11143	0
1	85	11146	1.17647
2	89	11147	2.24719
2	95	11149	2.10526
0	108	11152	0
1	102	11154	0.980392
1	74	11154	1.35135
2	84	11157	2.38095
2	66	11158	3.0303
0	76	11162	0
0	73	11166	0
0	96	11172	0
2	73	11172	2.73973
1	77	11172	1.2987
1	82	11172	1.21951
0	80	11173	0
0	78	11174	0
0	81	11174	0
1	98	11175	1.02041
1	91	11176	1.0989
3	88	11176	3.40909
0	87	11178	0
2	96	11178	2.08333
0	91	11179	0
0	98	11181	0
1	65	11184	1.53846
2	81	11185	2.46914
1	87	11185	1.14943
1	87	11185	1.14943
0	89	11186	0
3	79	11186	3.79747
0	68	11186	0
3	80	11188	3.75
2	82	11188	2.43902
2	89	11188	2.24719
1	88	11189	1.13636
1	85	11189	1.17647
2	62	11189	3.22581
1	93	11189	1.07527
0	89	11190	0
1	69	11191	1.44928
2	70	11191	2.85714
3	83	11191	3.61446
1	77	11192	1.2987
1	82	11192	1.21951
0	80	11193	0
0	84	11194	0
1	87	11194	1.14943
0	91	11194	0
