obs_mutation_count	exp_mutation_count	region_size	obs_exp_ratio
0	12	5585	0
0	10	5585	0
0	16	5585	0
0	17	5585	0
0	19	5585	0
0	13	5585	0
1	13	5585	7.69231
0	17	5585	0
0	11	5585	0
0	18	5585	0
0	7	5585	0
1	20	5585	5
0	12	5585	0
0	11	5585	0
0	14	5585	0
0	12	5585	0
0	17	5585	0
0	10	5584	0
0	14	5584	0
0	17	5584	0
0	19	5583	0
0	16	5583	0
0	17	5583	0
0	17	5582	0
0	14	5582	0
3	16	5582	18.75
0	20	5582	0
1	11	5582	9.09091
0	14	5582	0
0	21	5582	0
1	19	5582	5.26316
0	20	5581	0
0	18	5581	0
0	15	5580	0
1	16	5580	6.25
0	14	5580	0
0	8	5580	0
0	24	5580	0
0	18	5580	0
0	11	5580	0
0	14	5580	0
0	9	5580	0
0	19	5580	0
0	16	5580	0
0	17	5580	0
0	14	5580	0
0	15	5580	0
0	9	5580	0
0	14	5580	0
0	15	5580	0
1	16	5580	6.25
0	26	5580	0
0	14	5580	0
0	9	5580	0
0	13	5580	0
0	15	5580	0
1	9	5580	11.1111
0	14	5580	0
0	12	5580	0
0	13	5580	0
0	15	5580	0
0	9	5580	0
1	9	5580	11.1111
1	18	5580	5.55556
0	9	5580	0
0	18	5580	0
0	13	5579	0
0	15	5577	0
0	19	5577	0
0	24	5577	0
0	24	5576	0
0	21	5576	0
0	14	5576	0
0	13	5576	0
0	10	5575	0
0	17	5575	0
0	12	5574	0
0	5	5574	0
0	18	5571	0
0	15	5571	0
0	19	5569	0
0	13	5568	0
1	17	5566	5.88235
0	11	5565	0
0	9	5563	0
0	20	5563	0
0	18	5560	0
1	18	5559	5.55556
0	9	5558	0
0	25	5558	0
0	17	5556	0
0	17	5555	0
0	17	5547	0
0	16	5536	0
0	17	5526	0
0	17	5514	0
0	22	5509	0
0	23	5503	0
0	15	5492	0
0	11	5480	0
0	9	5472	0
0	9	5467	0
0	13	5457	0
0	12	5451	0
0	15	5446	0
0	17	5436	0
0	14	5418	0
0	16	5406	0
0	16	5402	0
0	10	5395	0
0	15	5386	0
0	11	5377	0
0	15	5368	0
0	19	5364	0
0	20	5357	0
1	13	5356	7.69231
0	17	5345	0
1	8	5339	12.5
0	11	5333	0
0	11	5328	0
0	24	5321	0
0	19	5311	0
0	14	5305	0
0	4	5302	0
0	15	5296	0
0	16	5293	0
0	21	5287	0
0	8	5286	0
0	13	5274	0
1	9	5268	11.1111
1	12	5265	8.33333
0	10	5263	0
0	15	5259	0
0	9	5257	0
0	20	5252	0
0	14	5251	0
0	15	5248	0
0	13	5243	0
0	9	5238	0
1	11	5236	9.09091
0	11	5231	0
0	12	5231	0
0	17	5230	0
0	12	5228	0
0	22	5227	0
0	20	5226	0
1	16	5222	6.25
3	12	5219	25
0	7	5218	0
0	14	5176	0
1	16	5172	6.25
0	8	5170	0
0	11	5167	0
0	17	5167	0
0	11	5167	0
0	16	5164	0
0	14	5158	0
0	13	5158	0
0	19	5157	0
0	11	5153	0
0	18	5153	0
0	14	5147	0
0	16	5147	0
0	13	5146	0
0	12	5145	0
0	18	5145	0
0	16	5144	0
0	18	5143	0
0	11	5140	0
0	17	5139	0
0	14	5138	0
0	14	5134	0
0	17	5129	0
0	14	5128	0
0	16	5127	0
0	14	5127	0
0	15	5121	0
0	22	5120	0
0	12	5118	0
1	13	5118	7.69231
0	12	5118	0
0	11	5118	0
1	10	5118	10
0	15	5118	0
1	13	5117	7.69231
0	16	5117	0
0	10	5115	0
0	13	5113	0
1	11	5109	9.09091
0	18	5105	0
0	10	5104	0
0	13	5101	0
0	14	5099	0
0	11	5099	0
0	13	5099	0
0	14	5099	0
0	19	5095	0
0	16	5093	0
1	12	5092	8.33333
2	14	5087	14.2857
0	20	5084	0
0	13	5082	0
0	11	5082	0
0	6	5081	0
0	15	5078	0
1	12	5078	8.33333
0	9	5077	0
0	16	5074	0
0	13	5072	0
1	14	5069	7.14286
1	12	5064	8.33333
0	15	5064	0
0	17	5060	0
0	23	5059	0
0	9	5059	0
1	14	5057	7.14286
0	7	5054	0
0	9	5054	0
0	19	5054	0
0	21	5047	0
0	14	5047	0
0	21	5045	0
0	9	5045	0
0	13	5043	0
0	11	5039	0
0	12	5038	0
0	14	5034	0
0	13	5028	0
0	11	5028	0
0	9	5025	0
0	18	5023	0
0	13	5020	0
0	17	5019	0
0	13	5017	0
1	11	5014	9.09091
0	10	5012	0
0	13	5011	0
0	8	5010	0
0	14	5009	0
0	11	5008	0
0	13	5007	0
0	14	5006	0
0	14	5006	0
0	18	5005	0
0	8	5004	0
0	13	5001	0
0	13	4999	0
0	16	4997	0
1	9	4994	11.1111
0	11	4989	0
0	15	4989	0
0	11	4987	0
1	8	4986	12.5
0	13	4985	0
0	14	4984	0
0	15	4982	0
0	16	4974	0
0	21	4967	0
0	6	4963	0
0	16	4959	0
0	19	4957	0
0	9	4954	0
0	7	4954	0
0	10	4952	0
0	12	4948	0
0	15	4948	0
0	9	4945	0
0	11	4942	0
0	7	4940	0
0	19	4939	0
0	12	4939	0
0	14	4938	0
1	18	4936	5.55556
0	11	4936	0
0	15	4936	0
0	18	4935	0
0	18	4935	0
0	14	4935	0
0	24	4932	0
0	6	4925	0
0	10	4923	0
0	25	4923	0
0	10	4918	0
0	11	4916	0
0	10	4915	0
0	25	4911	0
1	11	4907	9.09091
0	20	4904	0
0	12	4901	0
0	13	4901	0
0	8	4901	0
0	13	4901	0
1	12	4896	8.33333
0	11	4891	0
0	18	4890	0
0	8	4888	0
0	18	4885	0
0	13	4882	0
0	13	4880	0
0	16	4871	0
0	14	4867	0
0	13	4865	0
3	11	4865	27.2727
0	20	4864	0
0	16	4862	0
0	16	4862	0
0	12	4861	0
0	5	4860	0
0	18	4860	0
0	11	4856	0
2	10	4853	20
0	16	4851	0
0	9	4850	0
0	17	4850	0
0	9	4849	0
0	9	4849	0
0	12	4849	0
0	11	4846	0
0	16	4845	0
0	17	4836	0
0	19	4835	0
0	15	4835	0
