obs_mutation_count	exp_mutation_count	region_size	obs_exp_ratio
1	170	19532	0.588235
1	154	19532	0.649351
1	142	19532	0.704225
2	149	19531	1.34228
0	166	19530	0
0	155	19530	0
6	165	19531	3.63636
1	145	19531	0.689655
2	167	19531	1.1976
3	151	19531	1.98675
0	142	19530	0
2	149	19530	1.34228
1	144	19530	0.694444
1	173	19529	0.578035
0	149	19529	0
3	125	19531	2.4
1	145	19531	0.689655
1	165	19532	0.606061
0	170	19533	0
5	145	19533	3.44828
0	164	19533	0
0	167	19533	0
0	158	19534	0
2	148	19534	1.35135
0	170	19535	0
0	128	19535	0
1	142	19535	0.704225
2	143	19533	1.3986
1	162	19533	0.617284
0	146	19533	0
0	155	19533	0
3	141	19532	2.12766
1	134	19532	0.746269
1	149	19532	0.671141
1	140	19532	0.714286
3	156	19532	1.92308
1	162	19532	0.617284
0	159	19530	0
0	151	19525	0
2	149	19525	1.34228
0	154	19521	0
1	130	19522	0.769231
0	166	19521	0
0	179	19521	0
0	149	19519	0
0	145	19518	0
1	127	19518	0.787402
1	143	19516	0.699301
0	150	19516	0
1	155	19515	0.645161
0	158	19514	0
1	173	19511	0.578035
0	164	19511	0
3	173	19510	1.7341
3	159	19510	1.88679
0	162	19508	0
0	176	19507	0
0	153	19505	0
1	169	19505	0.591716
1	132	19502	0.757576
0	171	19499	0
0	145	19496	0
0	163	19494	0
2	144	19493	1.38889
0	172	19491	0
1	148	19486	0.675676
0	171	19482	0
0	166	19473	0
1	158	19474	0.632911
1	141	19472	0.70922
1	152	19469	0.657895
1	167	19469	0.598802
1	147	19465	0.680272
0	174	19463	0
3	141	19465	2.12766
0	157	19465	0
0	121	19460	0
1	185	19460	0.540541
1	160	19460	0.625
1	156	19459	0.641026
0	154	19455	0
1	150	19453	0.666667
0	158	19452	0
4	152	19451	2.63158
1	153	19450	0.653595
1	148	19449	0.675676
1	165	19445	0.606061
0	170	19448	0
2	165	19446	1.21212
0	162	19447	0
2	158	19449	1.26582
0	144	19445	0
1	162	19445	0.617284
0	170	19439	0
0	164	19439	0
1	164	19440	0.609756
1	150	19435	0.666667
0	140	19435	0
1	128	19435	0.78125
1	169	19433	0.591716
1	130	19424	0.769231
0	167	19422	0
0	173	19419	0
0	122	19420	0
0	150	19421	0
0	168	19419	0
2	158	19419	1.26582
0	141	19418	0
1	154	19415	0.649351
1	177	19407	0.564972
0	151	19400	0
0	165	19400	0
2	143	19395	1.3986
2	141	19394	1.41844
0	162	19393	0
1	164	19391	0.609756
0	142	19386	0
0	157	19388	0
1	154	19381	0.649351
0	147	19378	0
1	160	19376	0.625
3	154	19368	1.94805
0	139	19366	0
1	150	19368	0.666667
0	139	19365	0
0	168	19360	0
0	134	19362	0
0	133	19354	0
1	181	19348	0.552486
1	139	19350	0.719424
0	135	19349	0
0	154	19341	0
1	179	19340	0.558659
1	133	19333	0.75188
2	140	19332	1.42857
2	147	19334	1.36054
0	165	19330	0
0	159	19326	0
1	121	19318	0.826446
0	144	19313	0
2	153	19313	1.30719
0	117	19311	0
1	172	19298	0.581395
1	141	19297	0.70922
0	121	19293	0
0	147	19294	0
0	125	19296	0
0	176	19290	0
0	125	19282	0
2	145	18932	1.37931
0	150	18992	0
2	118	18981	1.69492
0	146	18979	0
2	131	18980	1.52672
2	151	18979	1.3245
0	144	18972	0
2	156	18971	1.28205
1	163	18969	0.613497
2	146	18963	1.36986
2	150	18945	1.33333
0	152	18940	0
1	151	18937	0.662252
2	139	18939	1.43885
0	134	18933	0
2	156	18932	1.28205
