obs_mutation_count	exp_mutation_count	region_size	obs_exp_ratio
0	28	19485	0
1	26	19485	3.84615
2	23	19485	8.69565
5	45	19483	11.1111
3	39	19480	7.69231
1	32	19480	3.125
0	31	19480	0
0	33	19480	0
0	28	19479	0
0	28	19479	0
5	31	19478	16.129
2	25	19478	8
0	27	19478	0
2	23	19477	8.69565
1	37	19477	2.7027
0	42	19479	0
0	23	19479	0
1	26	19479	3.84615
0	35	19479	0
1	23	19479	4.34783
0	21	19479	0
0	11	19479	0
0	25	19480	0
0	26	19480	0
0	15	19481	0
0	40	19481	0
1	41	19481	2.43902
0	34	19477	0
0	33	19477	0
2	31	19476	6.45161
0	37	19475	0
2	24	19475	8.33333
0	29	19473	0
2	34	19473	5.88235
1	28	19473	3.57143
1	30	19473	3.33333
1	27	19473	3.7037
1	42	19472	2.38095
1	38	19470	2.63158
4	26	19469	15.3846
0	38	19468	0
4	21	19469	19.0476
0	39	19468	0
0	38	19468	0
1	43	19465	2.32558
1	52	19462	1.92308
0	24	19462	0
2	33	19463	6.06061
0	21	19463	0
1	26	19462	3.84615
0	29	19460	0
0	30	19457	0
0	25	19458	0
0	24	19457	0
0	38	19457	0
1	29	19456	3.44828
0	24	19455	0
4	32	19453	12.5
2	39	19453	5.12821
3	49	19450	6.12245
0	15	19449	0
0	31	19448	0
1	39	19446	2.5641
1	43	19443	2.32558
0	30	19441	0
0	23	19440	0
0	44	19438	0
0	38	19436	0
1	27	19436	3.7037
1	22	19435	4.54545
0	32	19434	0
3	42	19434	7.14286
1	25	19431	4
0	26	19429	0
0	35	19430	0
0	35	19431	0
0	26	19428	0
0	44	19428	0
1	36	19428	2.77778
2	28	19426	7.14286
1	29	19424	3.44828
3	34	19424	8.82353
1	40	19424	2.5
1	37	19423	2.7027
0	27	19422	0
1	47	19420	2.12766
1	41	19412	2.43902
3	34	19413	8.82353
3	42	19410	7.14286
0	27	19409	0
0	24	19410	0
0	25	19408	0
0	42	19409	0
0	21	19399	0
0	25	19399	0
2	30	19399	6.66667
0	51	19396	0
0	27	19394	0
0	35	19392	0
0	45	19391	0
2	27	19381	7.40741
0	31	19382	0
1	23	19382	4.34783
1	26	19385	3.84615
1	36	19385	2.77778
1	41	19384	2.43902
0	46	19385	0
0	28	19380	0
3	28	19375	10.7143
0	48	19375	0
1	30	19372	3.33333
0	41	19369	0
1	35	19362	2.85714
5	34	19361	14.7059
3	27	19360	11.1111
1	23	19352	4.34783
0	48	19344	0
0	35	19346	0
3	24	19340	12.5
0	39	19336	0
3	27	19329	11.1111
0	27	19322	0
1	37	19320	2.7027
2	47	19323	4.25532
0	43	19319	0
0	29	19317	0
0	28	19319	0
0	27	19314	0
1	34	19313	2.94118
0	34	19316	0
4	35	19316	11.4286
0	37	19312	0
0	53	19309	0
0	35	19302	0
0	29	19303	0
0	35	19304	0
1	41	19301	2.43902
4	31	19297	12.9032
0	42	19290	0
0	30	19284	0
1	36	19276	2.77778
0	34	19271	0
2	44	19252	4.54545
2	38	19251	5.26316
0	36	19242	0
0	34	19243	0
0	33	19244	0
1	28	19239	3.57143
1	24	19231	4.16667
1	15	18800	6.66667
3	32	18908	9.375
1	30	18900	3.33333
0	19	18897	0
3	30	18899	10
0	37	18901	0
0	39	18893	0
2	40	18894	5
0	42	18895	0
1	30	18890	3.33333
1	33	18871	3.0303
0	30	18868	0
0	48	18866	0
0	32	18869	0
1	25	18866	4
0	32	18865	0
2	31	18858	6.45161
0	46	18856	0
0	21	18853	0
0	28	18848	0
1	33	18849	3.0303
3	35	18852	8.57143
0	32	18849	0
2	36	18849	5.55556
0	28	18844	0
1	33	18841	3.0303
0	29	18841	0
0	28	18836	0
0	20	18837	0
0	29	18837	0
0	26	18818	0
1	18	18820	5.55556
1	18	18819	5.55556
0	37	18811	0
0	26	18808	0
1	22	18806	4.54545
0	30	18799	0
2	35	18801	5.71429
0	27	18789	0
0	37	18789	0
2	31	18782	6.45161
1	23	18778	4.34783
0	32	18764	0
0	41	18756	0
3	32	18751	9.375
1	30	18747	3.33333
3	23	18741	13.0435
1	44	18732	2.27273
0	26	18724	0
0	36	18716	0
0	34	18688	0
2	28	18695	7.14286
4	24	18691	16.6667
0	23	18682	0
0	36	18679	0
0	26	18673	0
1	23	18666	4.34783
0	27	18664	0
2	27	18654	7.40741
2	26	18653	7.69231
0	38	18652	0
3	36	18645	8.33333
0	39	18632	0
0	19	18629	0
0	26	18623	0
0	29	18624	0
1	33	18617	3.0303
0	40	18615	0
1	27	18608	3.7037
0	31	18605	0
0	21	18559	0
1	24	18567	4.16667
2	22	18565	9.09091
2	41	18561	4.87805
2	28	18550	7.14286
1	14	18545	7.14286
6	18	18543	33.3333
2	33	18542	6.06061
1	47	18539	2.12766
0	26	18533	0
0	39	18535	0
1	36	18533	2.77778
2	18	18529	11.1111
2	30	18525	6.66667
0	40	18520	0
0	24	18503	0
3	26	18503	11.5385
0	27	18499	0
7	22	18491	31.8182
0	25	18485	0
0	45	18420	0
3	46	18440	6.52174
0	29	18430	0
2	28	18433	7.14286
