obs_mutation_count	exp_mutation_count	region_size	obs_exp_ratio
1	19	11075	5.26316
0	17	11074	0
0	13	11071	0
1	18	11084	5.55556
0	18	11083	0
0	13	11083	0
0	16	11082	0
1	12	11082	8.33333
0	26	11078	0
0	24	11069	0
0	11	11133	0
1	18	11128	5.55556
0	19	11125	0
0	16	11123	0
0	23	11117	0
0	26	11109	0
1	22	11107	4.54545
1	20	11105	5
0	17	11103	0
0	23	11100	0
0	29	11101	0
0	25	11098	0
0	21	11094	0
0	17	11090	0
1	15	11088	6.66667
0	22	11087	0
0	23	11088	0
0	16	11087	0
0	21	11085	0
0	14	11087	0
0	17	11084	0
0	21	11083	0
0	18	11084	0
0	23	11080	0
0	16	11075	0
0	21	11076	0
0	15	11078	0
0	17	11082	0
0	14	11081	0
0	18	11080	0
1	13	11074	7.69231
1	15	11072	6.66667
0	19	11071	0
0	24	11070	0
0	18	11074	0
0	19	11071	0
1	15	11071	6.66667
0	21	11070	0
0	16	11071	0
1	10	11074	10
0	26	11073	0
0	17	11073	0
0	12	11071	0
0	20	11077	0
0	16	11077	0
0	15	11081	0
0	11	11081	0
0	15	11082	0
0	12	11084	0
0	12	11091	0
0	18	11096	0
0	19	11098	0
0	19	11103	0
1	18	11107	5.55556
0	15	11108	0
0	21	11110	0
0	16	11112	0
0	14	11114	0
0	20	11116	0
0	18	11120	0
0	17	11120	0
0	30	11123	0
0	16	11125	0
0	12	11131	0
1	26	11131	3.84615
0	15	11136	0
0	19	11135	0
0	13	11139	0
0	16	11143	0
0	17	11146	0
0	13	11147	0
1	17	11149	5.88235
0	17	11152	0
0	18	11154	0
0	22	11154	0
0	17	11157	0
1	17	11158	5.88235
0	16	11162	0
0	15	11166	0
0	23	11172	0
0	20	11172	0
0	22	11172	0
0	20	11172	0
1	13	11173	7.69231
0	20	11174	0
0	17	11174	0
0	19	11175	0
0	21	11176	0
0	18	11176	0
0	20	11178	0
0	12	11178	0
0	17	11179	0
0	24	11181	0
0	10	11184	0
0	21	11185	0
0	31	11185	0
0	19	11185	0
0	14	11186	0
0	24	11186	0
0	24	11186	0
0	12	11188	0
0	17	11188	0
1	16	11188	6.25
0	24	11189	0
0	14	11189	0
0	26	11189	0
0	16	11189	0
0	20	11190	0
0	13	11191	0
1	18	11191	5.55556
0	18	11191	0
0	19	11192	0
0	21	11192	0
1	18	11193	5.55556
0	19	11194	0
0	14	11194	0
0	23	11194	0
0	23	11194	0
0	14	11194	0
1	24	11194	4.16667
0	18	11194	0
0	20	11194	0
0	15	11195	0
1	11	11195	9.09091
0	11	11195	0
3	13	11195	23.0769
0	14	11195	0
0	16	11195	0
0	24	11195	0
0	19	11195	0
1	19	11196	5.26316
0	12	11196	0
0	15	11196	0
0	20	11196	0
0	16	11196	0
1	21	11196	4.7619
0	15	11196	0
0	20	11196	0
1	17	11196	5.88235
0	30	11196	0
0	17	11196	0
1	16	11196	6.25
0	14	11196	0
0	27	11196	0
0	15	11196	0
1	23	11196	4.34783
0	15	11196	0
0	20	11196	0
1	17	11196	5.88235
1	14	11196	7.14286
2	20	11196	10
0	24	11196	0
1	19	11195	5.26316
0	17	11196	0
0	20	11196	0
0	20	11196	0
0	25	11196	0
0	19	11196	0
0	21	11196	0
0	18	11196	0
0	13	11196	0
0	26	11196	0
0	13	11196	0
2	18	11196	11.1111
0	19	11196	0
0	15	11196	0
0	14	11196	0
0	20	11196	0
0	19	11196	0
0	14	11196	0
0	23	11196	0
0	21	11196	0
0	14	11196	0
0	22	11196	0
0	24	11196	0
0	17	11196	0
0	22	11196	0
0	20	11196	0
1	16	11196	6.25
0	19	11196	0
0	12	11196	0
0	16	11196	0
1	23	11196	4.34783
0	21	11196	0
1	18	11196	5.55556
0	20	11196	0
1	12	11196	8.33333
0	18	11196	0
4	18	11196	22.2222
0	20	11196	0
0	22	11196	0
0	21	11196	0
0	11	11196	0
1	29	11196	3.44828
0	30	11196	0
0	21	11196	0
0	12	11196	0
2	12	11196	16.6667
1	21	11196	4.7619
0	25	11196	0
0	18	11196	0
0	14	11196	0
0	12	11196	0
0	15	11196	0
0	15	11196	0
0	20	11196	0
0	18	11196	0
0	17	11196	0
0	16	11196	0
0	17	11195	0
1	19	11195	5.26316
0	18	11195	0
1	20	11195	5
0	15	11195	0
0	27	11195	0
0	13	11195	0
1	12	11195	8.33333
0	13	11195	0
0	14	11195	0
1	19	11195	5.26316
0	29	11195	0
0	21	11195	0
0	16	11193	0
1	23	11193	4.34783
0	19	11193	0
0	21	11193	0
0	12	11193	0
0	14	11193	0
0	21	11193	0
1	15	11193	6.66667
0	24	11193	0
0	16	11192	0
1	29	11192	3.44828
0	23	11192	0
0	19	11192	0
0	18	11192	0
0	19	11192	0
0	21	11192	0
0	24	11192	0
0	17	11192	0
0	26	11192	0
0	15	11192	0
0	21	11192	0
0	17	11192	0
0	18	11192	0
0	19	11192	0
0	13	11192	0
0	14	11192	0
0	21	11192	0
0	23	11192	0
0	16	11192	0
0	22	11192	0
0	19	11192	0
1	17	11192	5.88235
0	20	11192	0
0	20	11192	0
0	21	11192	0
0	21	11192	0
0	19	11192	0
0	16	11192	0
0	19	11192	0
1	29	11192	3.44828
0	17	11192	0
0	15	11192	0
0	19	11192	0
0	24	11192	0
0	17	11192	0
0	15	11192	0
0	23	11192	0
1	18	11192	5.55556
0	18	11192	0
1	17	11192	5.88235
0	16	11192	0
0	18	11192	0
0	27	11192	0
0	11	11192	0
1	17	11192	5.88235
0	21	11192	0
0	19	11191	0
0	21	11190	0
0	18	11189	0
1	16	11189	6.25
0	17	11189	0
0	21	11189	0
0	22	11189	0
0	21	11189	0
0	16	11189	0
0	17	11190	0
0	22	11190	0
0	22	11190	0
1	22	11190	4.54545
0	19	11189	0
0	18	11189	0
0	15	11189	0
0	15	11189	0
0	14	11189	0
0	18	11189	0
2	20	11189	10
1	23	11189	4.34783
1	15	11189	6.66667
0	15	11189	0
0	11	11189	0
0	21	11189	0
0	28	11189	0
1	18	11189	5.55556
0	14	11189	0
0	18	11189	0
0	23	11189	0
1	20	11189	5
0	18	11189	0
1	21	11189	4.7619
0	19	11189	0
0	12	11189	0
0	13	11189	0
0	29	11189	0
2	22	11189	9.09091
0	15	11189	0
0	23	11189	0
0	17	11190	0
0	16	11190	0
0	16	11190	0
0	22	11190	0
0	20	11190	0
0	15	11190	0
0	21	11190	0
0	18	11190	0
1	19	11190	5.26316
1	23	11190	4.34783
0	11	11190	0
1	15	11190	6.66667
