obs_mutation_count	exp_mutation_count	region_size	obs_exp_ratio
3	77	19485	3.8961
2	81	19485	2.46914
0	71	19485	0
0	94	19483	0
1	55	19480	1.81818
2	87	19480	2.29885
0	63	19480	0
1	71	19480	1.40845
1	85	19479	1.17647
0	85	19479	0
4	69	19478	5.7971
0	62	19478	0
0	68	19478	0
0	69	19477	0
1	66	19477	1.51515
0	59	19479	0
1	67	19479	1.49254
0	68	19479	0
0	76	19479	0
2	68	19479	2.94118
1	102	19479	0.980392
0	84	19479	0
0	81	19480	0
1	87	19480	1.14943
0	67	19481	0
0	65	19481	0
1	86	19481	1.16279
0	69	19477	0
3	59	19477	5.08475
4	72	19476	5.55556
1	68	19475	1.47059
0	61	19475	0
1	68	19473	1.47059
3	87	19473	3.44828
0	65	19473	0
0	70	19473	0
3	80	19473	3.75
0	60	19472	0
5	59	19470	8.47458
0	81	19469	0
4	74	19468	5.40541
5	57	19469	8.77193
0	60	19468	0
2	73	19468	2.73973
2	49	19465	4.08163
1	67	19462	1.49254
0	71	19462	0
3	58	19463	5.17241
1	66	19463	1.51515
1	95	19462	1.05263
0	79	19460	0
3	60	19457	5
0	69	19458	0
1	69	19457	1.44928
3	73	19457	4.10959
1	79	19456	1.26582
1	73	19455	1.36986
2	72	19453	2.77778
1	96	19453	1.04167
0	71	19450	0
3	62	19449	4.83871
0	67	19448	0
5	75	19446	6.66667
0	69	19443	0
1	75	19441	1.33333
1	66	19440	1.51515
6	57	19438	10.5263
2	70	19436	2.85714
2	55	19436	3.63636
5	81	19435	6.17284
0	85	19434	0
2	84	19434	2.38095
4	42	19431	9.52381
2	72	19429	2.77778
0	59	19430	0
3	87	19431	3.44828
1	75	19428	1.33333
4	69	19428	5.7971
0	69	19428	0
1	76	19426	1.31579
1	70	19424	1.42857
1	82	19424	1.21951
0	71	19424	0
0	58	19423	0
1	56	19422	1.78571
2	62	19420	3.22581
1	76	19412	1.31579
0	62	19413	0
4	78	19410	5.12821
0	68	19409	0
0	69	19410	0
2	73	19408	2.73973
1	78	19409	1.28205
2	59	19399	3.38983
3	66	19399	4.54545
0	67	19399	0
0	69	19396	0
1	56	19394	1.78571
1	65	19392	1.53846
0	60	19391	0
2	58	19381	3.44828
1	84	19382	1.19048
1	67	19382	1.49254
2	77	19385	2.5974
3	68	19385	4.41176
1	69	19384	1.44928
0	63	19385	0
2	68	19380	2.94118
0	48	19375	0
3	92	19375	3.26087
1	53	19372	1.88679
0	82	19369	0
4	66	19362	6.06061
0	64	19361	0
2	69	19360	2.89855
0	81	19352	0
1	60	19344	1.66667
0	67	19346	0
1	64	19340	1.5625
1	74	19336	1.35135
1	65	19329	1.53846
3	59	19322	5.08475
0	76	19320	0
2	69	19323	2.89855
0	62	19319	0
0	56	19317	0
3	62	19319	4.83871
0	66	19314	0
0	67	19313	0
0	78	19316	0
2	63	19316	3.1746
0	89	19312	0
1	47	19309	2.12766
0	70	19302	0
2	79	19303	2.53165
2	80	19304	2.5
0	59	19301	0
2	79	19297	2.53165
0	61	19290	0
0	74	19284	0
0	58	19276	0
2	60	19271	3.33333
0	78	19252	0
5	54	19251	9.25926
0	45	19242	0
0	69	19243	0
3	74	19244	4.05405
1	53	19239	1.88679
3	78	19231	3.84615
0	60	18800	0
1	61	18908	1.63934
0	55	18900	0
0	57	18897	0
0	64	18899	0
1	62	18901	1.6129
2	79	18893	2.53165
3	58	18894	5.17241
3	73	18895	4.10959
1	64	18890	1.5625
1	58	18871	1.72414
5	63	18868	7.93651
0	81	18866	0
1	75	18869	1.33333
0	63	18866	0
4	60	18865	6.66667
1	63	18858	1.5873
0	58	18856	0
3	67	18853	4.47761
0	47	18848	0
0	58	18849	0
4	61	18852	6.55738
2	85	18849	2.35294
2	55	18849	3.63636
0	69	18844	0
0	63	18841	0
0	66	18841	0
0	59	18836	0
1	52	18837	1.92308
0	74	18837	0
0	60	18818	0
0	66	18820	0
2	78	18819	2.5641
0	78	18811	0
1	48	18808	2.08333
3	57	18806	5.26316
0	61	18799	0
3	59	18801	5.08475
0	62	18789	0
2	64	18789	3.125
1	66	18782	1.51515
0	85	18778	0
2	43	18764	4.65116
0	73	18756	0
2	77	18751	2.5974
0	74	18747	0
2	56	18741	3.57143
1	84	18732	1.19048
0	57	18724	0
0	57	18716	0
1	58	18688	1.72414
2	72	18695	2.77778
2	64	18691	3.125
1	51	18682	1.96078
1	55	18679	1.81818
0	67	18673	0
0	41	18666	0
3	66	18664	4.54545
1	76	18654	1.31579
1	68	18653	1.47059
0	54	18652	0
2	59	18645	3.38983
0	58	18632	0
1	66	18629	1.51515
0	72	18623	0
2	54	18624	3.7037
2	88	18617	2.27273
0	58	18615	0
2	72	18608	2.77778
1	54	18605	1.85185
2	55	18559	3.63636
1	63	18567	1.5873
0	64	18565	0
0	52	18561	0
3	70	18550	4.28571
0	59	18545	0
0	59	18543	0
2	66	18542	3.0303
1	54	18539	1.85185
0	71	18533	0
1	65	18535	1.53846
0	40	18533	0
0	57	18529	0
3	55	18525	5.45455
0	63	18520	0
2	59	18503	3.38983
2	57	18503	3.50877
0	73	18499	0
0	65	18491	0
1	60	18485	1.66667
3	81	18420	3.7037
0	71	18440	0
1	73	18430	1.36986
1	82	18433	1.21951
1	78	18428	1.28205
0	69	18420	0
0	51	18418	0
0	59	18417	0
0	49	18415	0
0	58	18414	0
0	78	18410	0
1	52	18397	1.92308
1	63	18397	1.5873
0	55	18396	0
0	49	18397	0
1	60	18394	1.66667
1	39	18391	2.5641
1	72	18389	1.38889
2	81	18386	2.46914
2	37	18384	5.40541
0	60	18297	0
0	63	18323	0
0	76	18324	0
2	54	18324	3.7037
1	55	18316	1.81818
0	46	18311	0
1	63	18314	1.5873
1	73	18309	1.36986
1	60	18309	1.66667
0	45	18309	0
0	60	18300	0
0	87	18299	0
0	78	18298	0
0	63	18301	0
2	61	18303	3.27869
1	74	18304	1.35135
0	68	18303	0
0	52	18297	0
0	49	18284	0
1	71	18280	1.40845
0	46	18198	0
0	65	18233	0
1	59	18235	1.69492
2	57	18232	3.50877
0	53	18219	0
0	48	18211	0
0	43	18210	0
7	55	18207	12.7273
2	76	18204	2.63158
0	55	18200	0
0	42	18188	0
0	57	18181	0
0	53	18175	0
0	75	18178	0
0	63	18178	0
4	61	18170	6.55738
2	60	18170	3.33333
0	62	18169	0
0	51	18168	0
1	63	18168	1.5873
0	40	18077	0
0	54	18114	0
0	74	18113	0
0	55	18109	0
2	59	18107	3.38983
1	72	18117	1.38889
0	70	18122	0
2	45	18108	4.44444
1	67	18106	1.49254
1	67	18107	1.49254
1	58	18099	1.72414
0	57	18092	0
1	55	18089	1.81818
1	68	18083	1.47059
0	60	18080	0
0	48	18078	0
0	67	18075	0
1	77	18070	1.2987
1	58	18056	1.72414
0	60	18050	0
0	63	17960	0
0	50	18001	0
0	83	17995	0
1	60	17995	1.66667
0	68	17990	0
0	61	17991	0
0	60	17988	0
0	56	17989	0
0	53	17988	0
1	76	17985	1.31579
0	55	17979	0
0	80	17977	0
0	62	17970	0
1	67	17969	1.49254
0	82	17961	0
0	76	17959	0
1	65	17954	1.53846
0	73	17951	0
0	62	17948	0
0	54	17947	0
1	59	17854	1.69492
0	60	17880	0
1	52	17870	1.92308
2	75	17868	2.66667
0	50	17864	0
0	60	17862	0
1	51	17861	1.96078
2	46	17859	4.34783
0	58	17862	0
3	69	17860	4.34783
2	64	17855	3.125
1	59	17852	1.69492
0	50	17849	0
3	62	17849	4.83871
0	47	17845	0
0	56	17844	0
0	58	17829	0
1	71	17832	1.40845
0	58	17831	0
1	70	17824	1.42857
1	60	17744	1.66667
1	55	17786	1.81818
0	58	17779	0
0	48	17773	0
0	68	17766	0
1	50	17759	2
2	57	17754	3.50877
0	73	17754	0
0	57	17754	0
1	75	17750	1.33333
0	53	17744	0
0	51	17743	0
0	62	17738	0
0	53	17735	0
0	53	17729	0
1	68	17727	1.47059
0	60	17724	0
0	44	17722	0
2	64	17716	3.125
0	52	17711	0
0	56	17671	0
1	49	17693	2.04082
1	48	17692	2.08333
1	59	17694	1.69492
2	66	17693	3.0303
0	88	17691	0
0	65	17692	0
1	47	17693	2.12766
0	61	17689	0
2	62	17680	3.22581
0	67	17674	0
0	61	17670	0
3	67	17669	4.47761
0	46	17667	0
1	61	17668	1.63934
0	75	17665	0
2	49	17669	4.08163
0	71	17667	0
2	68	17668	2.94118
3	57	17672	5.26316
0	43	17609	0
1	64	17644	1.5625
0	58	17642	0
0	42	17636	0
0	65	17636	0
0	52	17635	0
6	54	17633	11.1111
0	52	17636	0
2	57	17632	3.50877
1	55	17629	1.81818
1	72	17623	1.38889
0	49	17619	0
0	74	17619	0
1	53	17619	1.88679
0	66	17615	0
2	48	17613	4.16667
1	57	17609	1.75439
0	63	17608	0
1	74	17606	1.35135
0	50	17610	0
0	52	17537	0
0	56	17563	0
0	63	17561	0
0	63	17559	0
1	35	17556	2.85714
0	65	17557	0
0	61	17558	0
0	48	17559	0
1	64	17562	1.5625
0	59	17558	0
0	43	17555	0
1	54	17551	1.85185
0	70	17546	0
0	56	17545	0
2	61	17542	3.27869
1	47	17545	2.12766
1	65	17537	1.53846
2	47	17528	4.25532
3	44	17525	6.81818
0	53	17525	0
0	58	17453	0
0	50	17464	0
0	44	17465	0
0	69	17465	0
0	63	17462	0
1	46	17461	2.17391
0	60	17462	0
0	45	17463	0
0	47	17463	0
0	83	17463	0
2	71	17462	2.8169
0	69	17462	0
0	54	17460	0
2	47	17459	4.25532
0	60	17456	0
2	53	17455	3.77358
2	53	17459	3.77358
0	49	17460	0
0	45	17450	0
0	51	17452	0
1	81	17388	1.23457
0	57	17421	0
1	61	17418	1.63934
0	54	17416	0
0	46	17409	0
0	78	17404	0
0	53	17400	0
1	57	17399	1.75439
2	57	17399	3.50877
0	55	17396	0
0	61	17399	0
2	66	17393	3.0303
0	56	17393	0
2	39	17388	5.12821
0	63	17388	0
2	51	17384	3.92157
0	46	17385	0
0	46	17380	0
2	72	17372	2.77778
1	37	17373	2.7027
0	54	17307	0
2	71	17322	2.8169
0	54	17324	0
2	56	17324	3.57143
0	27	17327	0
1	52	17326	1.92308
0	47	17321	0
0	49	17318	0
0	52	17319	0
0	59	17314	0
0	50	17315	0
3	48	17314	6.25
1	54	17313	1.85185
2	53	17308	3.77358
0	47	17307	0
1	44	17307	2.27273
1	52	17308	1.92308
0	38	17305	0
0	60	17306	0
0	48	17305	0
0	46	17241	0
1	41	17260	2.43902
0	42	17258	0
1	55	17257	1.81818
1	55	17257	1.81818
0	49	17257	0
0	53	17256	0
0	57	17253	0
0	48	17248	0
0	54	17245	0
2	59	17242	3.38983
0	50	17242	0
1	38	17240	2.63158
0	56	17240	0
0	72	17239	0
0	39	17239	0
0	75	17242	0
1	48	17242	2.08333
0	45	17240	0
1	48	17239	2.08333
0	58	17185	0
0	46	17208	0
1	53	17205	1.88679
1	40	17206	2.5
1	53	17205	1.88679
1	53	17206	1.88679
0	73	17207	0
0	37	17207	0
0	46	17207	0
2	49	17205	4.08163
0	47	17200	0
1	58	17197	1.72414
0	61	17198	0
0	44	17199	0
0	47	17202	0
0	46	17202	0
0	50	17196	0
0	68	17196	0
0	51	17196	0
4	50	17198	8
0	44	17135	0
3	50	17151	6
0	55	17151	0
0	40	17143	0
0	55	17140	0
0	54	17141	0
4	50	17140	8
1	60	17139	1.66667
1	51	17139	1.96078
0	62	17137	0
1	87	17140	1.14943
0	61	17131	0
2	42	17132	4.7619
1	66	17134	1.51515
0	54	17135	0
1	70	17138	1.42857
0	46	17138	0
0	64	17136	0
0	51	17137	0
0	45	17136	0
1	43	17094	2.32558
0	61	17115	0
1	36	17116	2.77778
2	51	17117	3.92157
1	49	17114	2.04082
1	70	17117	1.42857
2	51	17119	3.92157
0	49	17117	0
0	46	17115	0
3	53	17122	5.66038
0	45	17120	0
0	37	17121	0
0	50	17117	0
0	49	17119	0
0	45	17117	0
0	50	17119	0
0	47	17120	0
1	43	17108	2.32558
0	64	17108	0
0	62	17108	0
3	51	17058	5.88235
1	39	17077	2.5641
3	48	17075	6.25
0	51	17078	0
0	51	17079	0
0	52	17078	0
0	45	17079	0
0	57	17075	0
0	56	17074	0
1	42	17068	2.38095
0	45	17068	0
1	65	17066	1.53846
2	48	17066	4.16667
0	67	17067	0
0	48	17066	0
0	43	17066	0
0	51	17060	0
0	58	17055	0
0	68	17053	0
0	42	17056	0
1	58	17004	1.72414
0	53	17015	0
2	63	17016	3.1746
0	43	17017	0
0	55	17013	0
1	47	17015	2.12766
0	63	17014	0
0	58	17015	0
3	51	17012	5.88235
0	52	17011	0
0	65	17012	0
0	47	17010	0
0	55	17009	0
0	47	17009	0
0	29	17006	0
2	43	17004	4.65116
1	41	17002	2.43902
0	44	17004	0
1	48	17003	2.08333
1	60	17004	1.66667
0	50	16977	0
0	66	16989	0
0	64	16987	0
5	39	16990	12.8205
0	51	16987	0
1	51	16986	1.96078
0	42	16985	0
1	49	16986	2.04082
0	60	16984	0
1	56	16985	1.78571
2	37	16985	5.40541
2	65	16982	3.07692
1	45	16980	2.22222
