obs_mutation_count	exp_mutation_count	region_size	obs_exp_ratio
1	16	11075	6.25
1	26	11074	3.84615
0	30	11071	0
0	33	11084	0
0	26	11083	0
0	28	11083	0
0	23	11082	0
0	37	11082	0
0	27	11078	0
0	29	11069	0
0	25	11133	0
0	20	11128	0
1	27	11125	3.7037
0	27	11123	0
0	30	11117	0
0	33	11109	0
0	24	11107	0
0	30	11105	0
0	37	11103	0
0	32	11100	0
0	23	11101	0
0	23	11098	0
0	30	11094	0
0	30	11090	0
0	33	11088	0
1	34	11087	2.94118
0	22	11088	0
0	25	11087	0
0	43	11085	0
0	29	11087	0
0	22	11084	0
0	23	11083	0
0	33	11084	0
0	36	11080	0
2	36	11075	5.55556
0	43	11076	0
0	41	11078	0
0	34	11082	0
0	31	11081	0
0	30	11080	0
2	39	11074	5.12821
0	30	11072	0
0	34	11071	0
0	26	11070	0
0	27	11074	0
2	22	11071	9.09091
0	22	11071	0
0	31	11070	0
0	33	11071	0
0	31	11074	0
1	29	11073	3.44828
0	41	11073	0
0	31	11071	0
0	28	11077	0
1	22	11077	4.54545
0	30	11081	0
0	40	11081	0
0	36	11082	0
0	37	11084	0
1	23	11091	4.34783
1	29	11096	3.44828
1	36	11098	2.77778
0	25	11103	0
0	30	11107	0
0	32	11108	0
0	26	11110	0
0	31	11112	0
0	32	11114	0
0	29	11116	0
0	39	11120	0
0	29	11120	0
1	37	11123	2.7027
0	36	11125	0
0	39	11131	0
1	27	11131	3.7037
1	36	11136	2.77778
0	28	11135	0
1	29	11139	3.44828
0	35	11143	0
0	34	11146	0
0	34	11147	0
0	27	11149	0
0	27	11152	0
0	42	11154	0
0	23	11154	0
0	37	11157	0
0	28	11158	0
1	27	11162	3.7037
0	34	11166	0
0	37	11172	0
0	31	11172	0
0	32	11172	0
0	25	11172	0
1	25	11173	4
1	35	11174	2.85714
0	33	11174	0
0	32	11175	0
1	26	11176	3.84615
0	35	11176	0
0	36	11178	0
0	32	11178	0
1	28	11179	3.57143
0	29	11181	0
0	32	11184	0
0	30	11185	0
